entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
24141,LAMP5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.160737623,NA,NA,0.777352319,0.853379572,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.05535005,NA,NA,0.922783107,0.952748019,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.231002249,NA,NA,0.685251353,1,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.48294952,NA,NA,0.398022045,0.614546455,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.706073844,NA,NA,0.278691695,0.361283482,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.246049782,NA,NA,0.683203484,0.734392604,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.451059241,NA,NA,0.420341945,0.865067123,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.496400453,NA,NA,0.403587288,0.488717992,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.274863831,NA,NA,0.725473089,0.785773697,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.049247727,NA,NA,0.949850499,0.961245716,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.022414314,NA,NA,0.977108309,1,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.319265187,NA,NA,0.682953664,0.790056146,NA,NA,NA
24141,LAMP5,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.182054101200696,NA,NA,0.725840805583085,0.99776532938064,10.0642457499246,0.519170364370416,-0.350663507963264
24141,LAMP5,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,2.4385061898335,NA,NA,0.0472458767312819,0.0787555022242467,7.7383018696976,1.22903041232932,1.98408938084122
24141,LAMP5,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.82369643138087,NA,NA,0.133371254290589,0.259719716998978,7.7383018696976,1.21503674031834,1.50093933036384
24141,LAMP5,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,2.62790869023305,NA,NA,0.193575404778452,0.491259151445512,1.25982577882723,2.02135224035659,1.30007459252597
24141,LAMP5,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,1.5518238981466,NA,NA,0.66056221585719,0.914831983796644,0.139599088770493,3.53380296008848,0.439137075743394
