entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,1.078441143,NA,NA,0.006338214,0.049939696,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.399487991,NA,NA,0.314967169,0.444881408,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.299988319,NA,NA,0.448538873,0.642832217,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.088330849,NA,NA,0.826038019,0.924528318,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.020014727,NA,NA,0.960531141,1,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.636399092,NA,NA,0.169636201,0.310359224,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.32714443,NA,NA,0.479755494,0.614690459,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.382809344,NA,NA,0.409608809,0.983276325,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.281281485,NA,NA,0.544855793,0.857195075,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.935490185,NA,NA,0.191367343,0.246833359,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.879974745,NA,NA,0.010649231,0.017296464,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.170084991,NA,NA,0.806082781,1,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.436571231,NA,NA,0.543809322,0.651601227,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.16770645,NA,NA,0.00044512,0.001412653,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.133349375,NA,NA,0.000966407,0.002686422,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.559643145,NA,NA,0.11564203,0.747737479,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.24624092,NA,NA,0.513846202,0.721112492,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.520231336,NA,NA,0.293904488,0.377548771,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.007619688,NA,NA,0.007899062,0.013627887,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.970241575,NA,NA,0.0192666,0.166687892,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.286584785,NA,NA,0.527945784,0.608564745,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.39880239,NA,NA,0.285002761,0.361708309,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.971769587,NA,NA,0.006201245,0.011019755,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.149883602,NA,NA,0.667670235,1,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.381019301,NA,NA,0.304556239,0.442779682,NA,NA,NA
151534,LBX2-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.064826657152484,NA,NA,0.672550338066709,0.99776532938064,67.5756205760106,0.153381269457829,0.422650414758156
151534,LBX2-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,1.61568274094424,NA,NA,5.05025515102074e-08,1.85549187906898e-07,157.202428964042,0.29648101099575,5.44953194647398
151534,LBX2-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.0355522735185,NA,NA,0.000411934688256897,0.00183321718082571,157.202428964042,0.293165129852744,3.53231734633194
151534,LBX2-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.749961315682652,NA,NA,0.00115789503713643,0.00697486578562466,94.0359667643423,0.230824517102012,3.24905397874703
151534,LBX2-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.0544215583519631,NA,NA,0.921980445578443,0.986307224021891,48.8438337188341,0.555665857341851,-0.0979393598381237
