entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-2.43367,NA,NA,1.46e-31,3.52e-30,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.956370507,NA,NA,1.14e-21,1.67e-20,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.167525537,NA,NA,0.308648446,0.977099857,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.419219617,NA,NA,0.020941269,0.06780248,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.382145666,NA,NA,2.02e-07,8.31e-07,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-1.821539198,NA,NA,1.22e-18,1.01e-17,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.167310134,NA,NA,0.299724504,0.787505046,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.281692237,NA,NA,0.133839274,0.190316587,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.161150871,NA,NA,1.43e-05,4.05e-05,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.483521773,NA,NA,7.19e-08,2.33e-07,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.071605946,NA,NA,0.782640623,1,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.094162397,NA,NA,0.718091743,0.817012715,NA,NA,NA
753,LDLRAD4,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.388894179414956,NA,NA,0.0087692898402977,0.125681384954926,305.022518124217,0.148380803124766,-2.62091976337367
753,LDLRAD4,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.0355540148465916,NA,NA,0.880858605298848,0.937269644221159,303.45228837662,0.237215163037686,0.14988086929731
753,LDLRAD4,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.0984296640082601,NA,NA,0.671384855040664,0.836362479122882,303.45228837662,0.232009652909659,-0.424248141289996
753,LDLRAD4,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.686576859537731,NA,NA,0.00236844110952772,0.0131175885731155,98.8035929135235,0.225872795197418,-3.03966158889409
753,LDLRAD4,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-2.37285404279799,NA,NA,0.00145826541047852,0.0105974649548121,460.381418527334,0.745509298489731,-3.18286310795179
