entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.036055121,NA,NA,0.942262834,0.970256457,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.155924745,NA,NA,0.759805681,0.834295371,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.379989797,NA,NA,0.452160161,1,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.418073382,NA,NA,0.425136517,0.639846049,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.104848899,NA,NA,0.881744959,0.911321433,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.613161838,NA,NA,0.373023558,0.438632287,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.857739083,NA,NA,0.197676457,0.675161705,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.058994009,NA,NA,0.934428309,0.955979178,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.123711176,NA,NA,0.814031441,0.858171368,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.385566138,NA,NA,0.46977796,0.542852187,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.22802277,NA,NA,0.6717632,1,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.540649819,NA,NA,0.316199774,0.455036284,NA,NA,NA
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.396348761833332,NA,NA,0.684208812448812,0.99776532938064,2.22970689805368,0.974484521901259,-0.406726585107826
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.36271585939341,NA,NA,0.0785601367833943,0.124419551037879,19.2215318074388,0.774665504417882,-1.75910228559541
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.662922106664704,NA,NA,0.347071528616262,0.541106179912753,19.2215318074388,0.705022727162259,-0.940284732852497
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.62516000301677,NA,NA,0.61731814532399,0.915723332374035,2.59641076826123,1.25118375577817,0.499654826982591
645166,LSP1P5,NA,transcribed_pseudogene,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.23808496268053,NA,NA,0.661648676746638,0.9150917374692,0.374047146231996,2.82901574633059,-0.437638059910557
