entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.589916636,NA,NA,0.011380941,0.07453852,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.394015584,NA,NA,0.093262928,0.178165864,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.292091183,NA,NA,0.21631199,0.409688228,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.121701828,NA,NA,0.615379757,0.810798382,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.109261019,NA,NA,0.641009778,1,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.169307467,NA,NA,0.483102073,0.637310955,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.719509487,NA,NA,0.005729377,0.01866247,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.010573258,NA,NA,0.962634052,1,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.179007943,NA,NA,0.433758417,0.799759081,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.626117085,NA,NA,6.15e-21,6.95e-20,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,2.172865072,NA,NA,1.2e-30,1.84e-29,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.09502931,NA,NA,0.649464613,1,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.681165561,NA,NA,0.000231108,0.000840223,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.996869279,NA,NA,0.002468823,0.006756663,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.706985556,NA,NA,0.047724692,0.088188676,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.010608555,NA,NA,0.975710946,1,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.581291257,NA,NA,0.093410184,0.221775216,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.557879329,NA,NA,1.9e-05,5.94e-05,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.213087748,NA,NA,9.05e-13,4.84e-12,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.214258454,NA,NA,0.498817477,0.907298857,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.578815086,NA,NA,7.39e-08,2.81e-07,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.785204792,NA,NA,0.165853541,0.226780275,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.81448127,NA,NA,0.150270685,0.201208132,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.147455352,NA,NA,0.794411251,1,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.54575086,NA,NA,0.336139231,0.476446727,NA,NA,NA
56911,MAP3K7CL,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.151270754869596,NA,NA,0.391096756518398,0.994287526644495,190.788191370258,0.176382285704593,0.857630086067406
56911,MAP3K7CL,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.267322549745874,NA,NA,0.315467968316981,0.41882292635028,174.332627875366,0.266306686623222,1.00381463618332
56911,MAP3K7CL,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.0801243018895092,NA,NA,0.758209140902542,0.882751670528553,174.332627875366,0.260284667149402,-0.307833353255181
56911,MAP3K7CL,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.0531286042768031,NA,NA,0.866238090365531,0.944490960689793,46.7931255490703,0.315417860780678,-0.168438794636761
56911,MAP3K7CL,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.57212203772417,NA,NA,0.0936934469088547,0.278096144035902,38.9770379194157,0.341315067237137,1.67622848400851
