entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
4141,MARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.136181384,NA,NA,0.194955696,0.301312967,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.111457552,NA,NA,0.291439166,0.404533498,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.052494993,NA,NA,0.615746812,1,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.222840916,NA,NA,0.038185727,0.110437917,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.139917723,NA,NA,6.48e-13,4.7e-12,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.781658982,NA,NA,1.29e-11,6.31e-11,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.234486426,NA,NA,0.025694347,0.20572803,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.146820492,NA,NA,1.09e-19,1.15e-18,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.659396876,NA,NA,2.59e-23,3.65e-22,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-2.152755991,NA,NA,5.6e-36,1.3e-34,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.086103485,NA,NA,0.591103537,1,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.505576146,NA,NA,0.001798133,0.005698579,NA,NA,NA
4141,MARS1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.116144541379839,NA,NA,0.358713053443924,0.970458321600033,3577.28231476002,0.126543905961638,0.91782010755262
4141,MARS1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.323958988086046,NA,NA,0.0117310542452866,0.022131205397314,4008.49901772828,0.128548376114269,2.5201328704306
4141,MARS1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.534439955667421,NA,NA,3.14376058826358e-05,0.000190812681511412,4008.49901772828,0.128384895054976,-4.16279466084049
4141,MARS1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.0286801376780739,NA,NA,0.626589623556643,0.923286242502643,2332.15435644155,0.0589480331739464,0.486532563239953
4141,MARS1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.631878488500371,NA,NA,0.000155135550998459,0.00172549470313127,2504.56589578448,0.167044247270218,3.78270128320083
