entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
23184,MESD,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.351455335,NA,NA,0.001160741,0.003406952,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.212649396,NA,NA,0.055914985,0.101172922,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.00757592,NA,NA,0.945129805,1,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.25756365,NA,NA,0.020308013,0.066127808,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.006502147,NA,NA,0.963931717,0.974282322,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.302330355,NA,NA,0.010606488,0.017839654,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.052348129,NA,NA,0.644349888,0.951576254,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.586708214,NA,NA,5.67e-07,1.93e-06,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.025611806,NA,NA,0.857277996,0.89198671,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.681552996,NA,NA,2.58e-06,7.12e-06,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.023516486,NA,NA,0.867176988,1,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.405220817,NA,NA,0.004235662,0.012204876,NA,NA,NA
23184,MESD,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0624929173632728,NA,NA,0.547680240290525,0.99776532938064,1750.39760462293,0.103940077296277,0.601239858472871
23184,MESD,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.20342801806388,NA,NA,2.6968912040546e-13,1.48242589190008e-12,1495.47792361782,0.164656355631677,-7.30872497115054
23184,MESD,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.384091641761818,NA,NA,0.0167419670952777,0.0458105498388739,1495.47792361782,0.16055155165118,-2.39232594024572
23184,MESD,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.347308834972233,NA,NA,1.56760676732807e-06,1.58680415326439e-05,1866.76121153345,0.0723195696557602,4.80241844116906
23184,MESD,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.671980996310623,NA,NA,0.000557283659203705,0.00489797065729699,1151.70295872544,0.194687096291691,3.45159493931649
