entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
92667,MGME1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.097874667,NA,NA,0.552019539,0.745694518,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.527880642,NA,NA,0.001343712,0.006791526,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.328249542,NA,NA,0.048695242,0.149818834,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.354806023,NA,NA,0.049379309,0.253674145,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.074297939,NA,NA,0.660787174,1,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.241399094,NA,NA,0.252974983,0.410718952,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.309687901,NA,NA,0.165091169,0.28171303,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.383391049,NA,NA,0.068916868,0.694077567,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.154221988,NA,NA,0.463614224,0.81688219,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.568651175,NA,NA,0.000350589,0.000760486,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.584157817,NA,NA,0.000984494,0.001864145,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.157565698,NA,NA,0.378989845,0.996591503,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.495194232,NA,NA,0.00214092,0.006164622,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.474385548,NA,NA,0.003818054,0.010021497,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.454572673,NA,NA,0.007319504,0.016872356,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.139428337,NA,NA,0.417737836,1,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.0113717,NA,NA,0.948771401,0.989538871,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.349963293,NA,NA,0.122742442,0.17949745,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.131043148,NA,NA,0.442622571,0.508125576,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.091943496,NA,NA,0.58001662,0.928914854,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.627818351,NA,NA,0.000426826,0.000992306,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.565900892,NA,NA,0.131907103,0.185366405,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.476404469,NA,NA,0.205121524,0.265194698,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.156757518,NA,NA,0.675793349,1,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.345628537,NA,NA,0.358536504,0.500065777,NA,NA,NA
92667,MGME1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0853471504285824,NA,NA,0.347278549009526,0.960457415743183,219.122400254095,0.0908063261719311,-0.939881107699342
92667,MGME1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.504275727079161,NA,NA,0.000826025433475152,0.00187929294872249,1235.3508714552,0.150803612322209,-3.34392339357044
92667,MGME1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.25417288318241,NA,NA,0.08515326129736,0.180280353819738,1235.3508714552,0.147642920602024,-1.72153789796356
92667,MGME1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.466200690458781,NA,NA,1.95747692074654e-09,2.8430758079905e-08,1037.18484580223,0.0776833239269052,6.00129689220617
92667,MGME1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.59953647065259,NA,NA,0.00770320187727491,0.0404508955344502,402.235922512159,0.224982889859834,2.66480918182759
