entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100616408,MIR5047,NA,miRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.423514357,NA,NA,0.093377979,0.274293374,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.905327564,NA,NA,0.000444072,0.002835268,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.432227075,NA,NA,0.090286778,0.230505785,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.167059186,NA,NA,0.546930723,0.765518438,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.051972493,NA,NA,0.83859066,1,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.317628143,NA,NA,0.243340488,0.399904986,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.217558564,NA,NA,0.413403526,0.552695927,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.219893358,NA,NA,0.37804589,0.974750897,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.119615832,NA,NA,0.644053566,0.897340239,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.951569594,NA,NA,0.002222682,0.00427307,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.408126747,NA,NA,0.253480385,0.30848499,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.520793489,NA,NA,0.076401338,0.641088556,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-2.405847342,NA,NA,5.45e-12,8.75e-11,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.724688553,NA,NA,0.042363581,0.08359189,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.424890223,NA,NA,0.23685426,0.34160733,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.090743736,NA,NA,0.799374361,1,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.543354484,NA,NA,0.121596497,0.271116848,NA,NA,NA
100616408,MIR5047,NA,miRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.765563445,NA,NA,0.036571908,0.061693864,NA,NA,NA
