entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.18636133,NA,NA,0.641699412,0.80824182,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.274011045,NA,NA,0.497294653,0.619553273,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.20249731,NA,NA,0.616198421,0.774118367,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.088140222,NA,NA,0.827621496,0.92560067,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.174039079,NA,NA,0.667094047,1,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.590119258,NA,NA,0.195842426,0.342824142,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.743161328,NA,NA,0.10286052,0.193881975,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.105210002,NA,NA,0.819227012,1,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.295498055,NA,NA,0.520748903,0.844608316,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.218124556,NA,NA,0.765606281,0.808807725,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.30312459,NA,NA,0.678985451,0.727077705,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.379689175,NA,NA,0.592624982,1,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.420389222,NA,NA,0.564817507,0.669864545,NA,NA,NA
100507419,MMP25-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,1.27085022700989,NA,NA,1.63221258545867e-18,3.72925293503887e-16,226.717974842883,0.14474088535381,8.78017447456797
100507419,MMP25-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,1.37422846832851,NA,NA,1.31493488233354e-05,3.77402415530477e-05,190.696990333729,0.315363256649174,4.35760488691703
100507419,MMP25-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.26298773379506,NA,NA,4.6962823929336e-05,0.000272135926817664,190.696990333729,0.310297378126186,4.07024945367554
100507419,MMP25-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.241751231908413,NA,NA,0.3929489560747,0.764439771350927,63.5696036024242,0.282987740615701,0.854281642669151
100507419,MMP25-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.947032966336874,NA,NA,0.159708374230492,0.408335272079176,7.58587253772754,0.673539999356544,1.40605304397899
