entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
4361,MRE11,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.778020698,NA,NA,2.76e-05,0.000108459,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.16393576,NA,NA,1.54e-09,9.4e-09,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.12466561,NA,NA,0.488418486,1,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.05620459,NA,NA,0.759267263,0.889356364,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.225177551,NA,NA,0.289443194,0.372686178,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.595291993,NA,NA,0.000304679,0.000664593,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.051742174,NA,NA,0.711974927,0.962664943,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.004310459,NA,NA,0.978387743,0.988828832,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.06931801,NA,NA,0.00069728,0.001539681,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.318283104,NA,NA,3.98e-05,9.57e-05,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.138576002,NA,NA,0.65556973,1,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.392986264,NA,NA,0.20917821,0.33241396,NA,NA,NA
4361,MRE11,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.284726303219748,NA,NA,0.0288779874119953,0.277544820107186,556.617801401731,0.130300687435781,-2.1851481279412
4361,MRE11,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-3.11170125737033,NA,NA,2.48434486948099e-44,6.30598066744583e-43,743.014751061206,0.222792204232235,-13.9668318651165
4361,MRE11,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.06782826278386,NA,NA,1.24909314652003e-07,1.33976707157874e-06,743.014751061206,0.202004454535012,-5.28616195737794
4361,MRE11,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.108113777748438,NA,NA,0.256809056361942,0.594797794242169,685.07088689557,0.0953413362501615,-1.13396541312117
4361,MRE11,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.750335229388798,NA,NA,5.92925534333115e-06,0.00011291131077553,441.359677249494,0.165677277456957,-4.52889642385472
