entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
57591,MRTFA,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.015325141,NA,NA,2.4e-17,2.96e-16,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.567345536,NA,NA,6.97e-38,2.03e-36,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.525435036,NA,NA,2.13e-05,0.001844639,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.729681529,NA,NA,7.59e-09,9.02e-08,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.538469161,NA,NA,0.004728666,0.009714721,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.807601395,NA,NA,1.16e-06,3.44e-06,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.834766902,NA,NA,1.22e-06,3.72e-05,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-9.13e-05,NA,NA,0.999585621,1,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.561793078,NA,NA,0.000823307,0.001795618,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.48349866,NA,NA,0.004321831,0.007869321,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.618178646,NA,NA,0.000124148,0.01236436,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.885210962,NA,NA,1.24e-07,8.66e-07,NA,NA,NA
57591,MRTFA,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0879501352704408,NA,NA,0.499094150826764,0.99776532938064,2073.06434869261,0.130119971359008,0.675915728783719
57591,MRTFA,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.4647374440521,NA,NA,3.00100949125476e-50,9.77097662144563e-49,1524.0574688962,0.165349159907648,-14.9062592481796
57591,MRTFA,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.775917206894893,NA,NA,6.79131944627589e-07,6.17236762661756e-06,1524.0574688962,0.156206969669268,-4.96723807226858
57591,MRTFA,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.246848688919635,NA,NA,0.000437004167968871,0.0029067099110877,2027.70904797969,0.0701939637673867,3.51666547479293
57591,MRTFA,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.288668309105023,NA,NA,0.102635655510716,0.29777288606414,815.661463190828,0.176857540120449,1.63220809759327
