entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
113115,MTFR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.342209093,NA,NA,0.105201372,0.293171915,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.323785007,NA,NA,0.127492539,0.224947471,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.724390856,NA,NA,0.001012538,0.007638157,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.377103201,NA,NA,0.101773016,0.34498596,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.186795254,NA,NA,0.398185069,1,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.32804464,NA,NA,0.331202002,0.496178736,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.843662411,NA,NA,0.016788214,0.045214578,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.138347144,NA,NA,0.67996878,0.997855584,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.486057906,NA,NA,0.145856754,0.535434351,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.030132684,NA,NA,0.913680305,0.933126736,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.5667186,NA,NA,0.060177159,0.08515407,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.182271506,NA,NA,0.49510165,1,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.001794699,NA,NA,0.994937925,0.997520335,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.450039403,NA,NA,0.148979383,0.241508872,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.499593936,NA,NA,0.112556962,0.184328945,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.291564196,NA,NA,0.356770114,1,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.099668004,NA,NA,0.764364592,0.893040925,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.667176431,NA,NA,1.92e-06,6.92e-06,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.970532922,NA,NA,0.001666552,0.003246663,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.492021761,NA,NA,0.102656204,0.492198473,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.693254547,NA,NA,0.03676556,0.060262259,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.702385221,NA,NA,0.005272243,0.010051577,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.86222853,NA,NA,0.000469338,0.000986677,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.158698724,NA,NA,0.519254692,1,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.226556212,NA,NA,0.445179039,0.587922733,NA,NA,NA
113115,MTFR2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.531085317648751,NA,NA,0.0434985117337113,0.352918405912446,30.043128892785,0.263057897208089,2.01889136682577
113115,MTFR2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.175159659157018,NA,NA,0.428849767540777,0.541170760441852,327.327522268135,0.221395586091785,0.791161478189547
113115,MTFR2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.367662635134647,NA,NA,0.0868702020721217,0.183326370433101,327.327522268135,0.214738196045524,1.71214363306238
113115,MTFR2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.0168564281414001,NA,NA,0.930789798135519,0.979035173342536,137.076720221163,0.194084022076759,-0.0868511892995162
113115,MTFR2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.115403185930217,NA,NA,0.754200689811114,0.969314693034187,53.6833177707665,0.368576319642868,-0.313105264174423
