entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
26164,MTG2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.258450977,NA,NA,0.153243256,0.36410296,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.190982332,NA,NA,0.296059606,0.425289789,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.086857463,NA,NA,0.63733036,0.787828785,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.350474204,NA,NA,0.059299942,0.274529045,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.061726716,NA,NA,0.737077252,1,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.176858703,NA,NA,0.348025858,0.513722359,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.246999179,NA,NA,0.185269488,0.307085617,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.121315904,NA,NA,0.495275279,0.993525251,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.073074129,NA,NA,0.684398757,0.914879157,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.341440679,NA,NA,0.077631333,0.110571693,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-0.344180465,NA,NA,0.114075857,0.152130681,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.123665442,NA,NA,0.443362668,1,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.804213235,NA,NA,1.33e-05,6.42e-05,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.025009612,NA,NA,0.892650107,0.935889937,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.533966884,NA,NA,0.005861115,0.013819891,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.07453288,NA,NA,0.682886409,1,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.149794597,NA,NA,0.432817089,0.647227887,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.388005168,NA,NA,0.176247853,0.244523191,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.106570903,NA,NA,0.615112524,0.672723488,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.001791848,NA,NA,0.993133567,1,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.989336252,NA,NA,4.89e-05,0.000131214,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.49933639,NA,NA,5.92e-10,2.76e-09,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.977617249,NA,NA,6.44e-05,0.000150283,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.145571517,NA,NA,0.520141266,1,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.895804726,NA,NA,0.00011399,0.000479648,NA,NA,NA
26164,MTG2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.00398876346844239,NA,NA,0.979397568358406,0.99776532938064,486.715535364032,0.154458422283278,-0.0258241888624692
26164,MTG2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.00900075211168802,NA,NA,0.953339252034381,0.990825840471388,1073.68024653331,0.15382233302669,-0.058513948752333
26164,MTG2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.123764216568162,NA,NA,0.413954355741331,0.614573560634312,1073.68024653331,0.151494601868321,-0.816954631002216
26164,MTG2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.333878674330385,NA,NA,8.41757874827298e-05,0.000646387453670879,854.231403600181,0.0849091081138166,3.93218915787969
26164,MTG2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.192755091289296,NA,NA,0.16879179942795,0.424144873852843,516.628856388336,0.14007383172598,1.37609636942304
