entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.795517541,NA,NA,0.156961888,0.252243785,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.23639495,NA,NA,0.02792075,0.055320255,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.509039566,NA,NA,0.368154278,1,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.349834974,NA,NA,0.539715358,0.741049219,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.249457236,NA,NA,0.000391668,0.000993132,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,4.061216339,NA,NA,6.68e-12,3.36e-11,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.370626147,NA,NA,0.562150353,0.924305238,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.178366531,NA,NA,0.0690203,0.105763983,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,3.068005609,NA,NA,1.2e-05,3.43e-05,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,3.813659242,NA,NA,2.49e-08,8.44e-08,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.497070604,NA,NA,0.479500314,1,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.958217379,NA,NA,0.004909512,0.013888241,NA,NA,NA
100126784,NAV2-AS6,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.394837959872348,NA,NA,0.0719577160165815,0.473172024473272,296.668711149164,0.219429328544344,1.79938553561474
100126784,NAV2-AS6,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,3.06259144233552,NA,NA,4.24167642130978e-12,2.1598470589964e-11,67.3233486210539,0.442003443764766,6.92888592959793
100126784,NAV2-AS6,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.28953379830393,NA,NA,0.00416507574705152,0.0139169104986502,67.3233486210539,0.450039183845029,2.86538115922808
100126784,NAV2-AS6,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.815445980952407,NA,NA,0.638436901778066,0.924806207850071,1.61445814019041,1.73541462543251,-0.469885391653409
100126784,NAV2-AS6,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.590039215126798,NA,NA,0.867393624021439,0.986307224021891,0.336031535756603,3.53380296008848,0.166970038168745
