entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.30379514,NA,NA,0.10032524,0.285526854,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.071552806,NA,NA,0.703381038,0.791835367,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.055967968,NA,NA,0.76920255,0.877007295,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.009226363,NA,NA,0.963188544,0.993605702,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.131905229,NA,NA,0.487572358,1,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.103076368,NA,NA,0.606478105,0.738922397,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.132497015,NA,NA,0.543671759,0.672103985,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.04588856,NA,NA,0.807535874,1,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.040032549,NA,NA,0.833110551,0.960630646,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.043483878,NA,NA,0.819200179,0.854887341,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.121858162,NA,NA,0.588806589,0.643625794,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.047974854,NA,NA,0.795193816,1,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.376570398,NA,NA,0.035324447,0.070534767,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.208729552,NA,NA,0.286521539,0.407580664,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.262363617,NA,NA,0.19897738,0.29628088,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.11478647,NA,NA,0.549644552,1,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.045104145,NA,NA,0.816253507,0.922813226,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.222982291,NA,NA,0.445133039,0.53372539,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.396885398,NA,NA,0.08955036,0.125114391,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.178698619,NA,NA,0.40126082,0.857076954,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.282741084,NA,NA,0.19232313,0.260749356,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.343249374,NA,NA,0.035466148,0.057497471,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.049680131,NA,NA,0.769531967,0.813759759,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.03021456,NA,NA,0.847749666,1,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.102729573,NA,NA,0.525530577,0.661552273,NA,NA,NA
79133,NDUFAF5,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0764310221947415,NA,NA,0.53899180477805,0.99776532938064,146.657763686059,0.12441194595434,-0.614338290494968
79133,NDUFAF5,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.161642587465949,NA,NA,0.397297027721876,0.509379842880587,483.926216458843,0.190963398221434,-0.846458478281342
79133,NDUFAF5,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.0352852999227335,NA,NA,0.848993727918455,0.935638826904509,483.926216458843,0.185319506576817,0.190402513877336
79133,NDUFAF5,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.146110532528509,NA,NA,0.259965567479166,0.599509936413944,288.094899142476,0.12970625597264,1.12647251617015
79133,NDUFAF5,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.773763190590506,NA,NA,0.00157987606556218,0.0113276759321305,150.522859528397,0.244893015953461,3.15959680425329
