entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.484413034,NA,NA,0.150405647,0.243359531,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.666868367,NA,NA,0.05565407,0.100760057,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.243406694,NA,NA,0.471871607,1,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.186559022,NA,NA,0.603206496,0.787112956,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.471749682,NA,NA,6.41e-06,2.15e-05,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.122505348,NA,NA,1.57e-15,1.03e-14,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.376012878,NA,NA,0.175062925,0.643005543,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.402266176,NA,NA,0.177170434,0.242656373,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.586437314,NA,NA,7.25e-05,0.000185624,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.864252487,NA,NA,5.25e-13,2.75e-12,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.39683014,NA,NA,0.325091337,1,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.104407545,NA,NA,0.797043672,0.871845085,NA,NA,NA
646719,NIPBL-DT,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.117693767789358,NA,NA,0.494530585844491,0.99776532938064,255.569625328787,0.17228839706757,-0.683120684808505
646719,NIPBL-DT,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,1.13860117666447,NA,NA,2.11690026988209e-08,8.05665339235269e-08,404.817387881992,0.203243037674064,5.60216571103617
646719,NIPBL-DT,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.287030790512687,NA,NA,0.156023256783,0.294828439098456,404.817387881992,0.202337555128247,1.41857397817602
646719,NIPBL-DT,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.29208553166262,NA,NA,0.0803726377123924,0.258190550416348,196.82904959288,0.167046525997415,1.74852802187063
646719,NIPBL-DT,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.960819245801982,NA,NA,0.0409766326304384,0.149458091437223,111.237743220555,0.470121858520801,-2.04376637330823
