entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.189684378,NA,NA,0.414060307,0.542942575,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.251575566,NA,NA,0.301359847,0.414777451,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.13194163,NA,NA,0.586655998,1,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.67251731,NA,NA,0.007427726,0.028703131,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.194395782,NA,NA,0.002093234,0.004606309,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.344767367,NA,NA,0.197360522,0.252123003,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.26647405,NA,NA,0.324952357,0.809993466,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.045839464,NA,NA,0.000553673,0.001266979,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.32538478,NA,NA,0.00051774,0.001169157,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.691249643,NA,NA,0.06876616,0.099684779,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.04188589,NA,NA,0.908382784,1,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.938669221,NA,NA,0.012167532,0.030661149,NA,NA,NA
121053,NOPCHAP1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.130098320692471,NA,NA,0.232575487172271,0.8300344503477,148.106954884265,0.108982819169836,-1.19375073689119
121053,NOPCHAP1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.74530572364949,NA,NA,1.20049878691284e-06,3.85513902986637e-06,1161.10012378095,0.153495467808442,-4.85555524401286
121053,NOPCHAP1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.52644341393393,NA,NA,0.000449869914218295,0.00197915054985213,1161.10012378095,0.150028517440311,-3.50895565000418
121053,NOPCHAP1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.510113761255785,NA,NA,3.46163226678525e-06,3.31043194938001e-05,448.985225137835,0.109906658307808,-4.64133628580667
121053,NOPCHAP1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.445409280058279,NA,NA,0.10052777005729,0.293308768964471,161.095919336783,0.271210606561503,1.64230037204416
