entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.073279675,NA,NA,0.811225683,0.908805686,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.444401291,NA,NA,0.157280583,0.264031105,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.364866077,NA,NA,0.261930683,0.46026282,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.256797776,NA,NA,0.468080582,0.707913391,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.299507256,NA,NA,0.35761219,1,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.402804318,NA,NA,0.312693043,0.47664778,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.989176971,NA,NA,0.017458689,0.0466453,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.688620503,NA,NA,0.085782476,0.743702107,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.326827172,NA,NA,0.415594859,0.791368537,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.977615018,NA,NA,0.022562063,0.036230143,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.862595264,NA,NA,6.58e-05,0.000145231,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.287843929,NA,NA,0.554540469,1,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,1.361371179,NA,NA,0.00262502,0.00738245,NA,NA,NA
441094,NR2F1-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.249450333558537,NA,NA,0.327500652758498,0.945961582286141,240.616023860907,0.254759376373865,0.97916055969796
441094,NR2F1-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.744219690129151,NA,NA,0.0387131953018532,0.0657405254603311,98.2958011293053,0.36000948079273,-2.06722247561482
441094,NR2F1-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.02740540003141,NA,NA,0.00321616329006805,0.011105723455501,98.2958011293053,0.348712204751165,-2.9462846038456
441094,NR2F1-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.648746344051897,NA,NA,0.000185250131871919,0.00133150229127091,158.04933038778,0.173539295578864,-3.7383253279202
441094,NR2F1-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.320051927297559,NA,NA,0.393587304044931,0.732327671170461,30.0650840078373,0.375150312978618,0.853129842159563
