entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
7468,NSD2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.982429155,NA,NA,1.28e-10,9.39e-10,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.515707585,NA,NA,9.4e-22,1.38e-20,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.09338671,NA,NA,0.525607948,1,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.440240643,NA,NA,0.003658749,0.015618445,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.441966142,NA,NA,0.026993575,0.046909807,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.8724238,NA,NA,8.23e-08,2.79e-07,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.068580665,NA,NA,0.6125222,0.941862724,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.293157743,NA,NA,0.054781055,0.086185808,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.487164097,NA,NA,0.218448761,0.287337553,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.541184731,NA,NA,0.171637401,0.226489611,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.054975848,NA,NA,0.889158684,1,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.45908408,NA,NA,0.245268015,0.375950983,NA,NA,NA
7468,NSD2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0525882747239329,NA,NA,0.599059436056675,0.99776532938064,2152.05103248299,0.100024569401054,-0.525753572735489
7468,NSD2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.22149322833553,NA,NA,1.5544138141029e-53,5.86111431420576e-52,3859.41921305724,0.144221574489562,-15.4033350155688
7468,NSD2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.760081838503944,NA,NA,6.73158998951348e-08,7.73700967485912e-07,3859.41921305724,0.140803045357279,-5.39819175483943
7468,NSD2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.134096344973811,NA,NA,0.037240637178185,0.140097544055903,2572.46467904925,0.0643729561858989,-2.08311615496672
7468,NSD2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.0328663900355222,NA,NA,0.89909694867552,0.986307224021891,1007.19518814735,0.259194147620154,0.126802207292456
