entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
51617,NSG2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.612150992,NA,NA,0.089327941,0.158244236,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.485024936,NA,NA,0.159998359,0.247682803,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.144119476,NA,NA,0.685040121,1,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.156920697,NA,NA,0.647705864,0.813988833,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.441809342,NA,NA,0.001012335,0.00237824,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,3.65297476,NA,NA,5.58e-07,1.72e-06,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.648629574,NA,NA,0.384592143,0.850456689,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.28112796,NA,NA,0.085671484,0.12844898,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,4.681687873,NA,NA,2.01e-11,1.09e-10,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,6.140324637,NA,NA,1.79e-18,1.43e-17,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.569560129,NA,NA,0.468041366,1,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,2.431146752,NA,NA,0.000990332,0.003365863,NA,NA,NA
51617,NSG2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.131515602683053,NA,NA,0.812645296440528,0.99776532938064,2.52326417358888,0.554883467092025,0.237014815691457
51617,NSG2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,3.63209355201678,NA,NA,2.87587567324331e-05,7.93108898721204e-05,27.6320383633042,0.868282350549525,4.18307886797201
51617,NSG2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,4.06677111609159,NA,NA,1.73296844726651e-06,1.42294748772497e-05,27.6320383633042,0.850378946361428,4.78230456373872
51617,NSG2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.377856297721459,NA,NA,0.725299206897376,0.924806207850071,4.28865813502811,1.07533283619817,0.351385436212815
51617,NSG2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.446609074323475,NA,NA,0.827941474407433,0.986307224021891,0.927715403320741,2.0548634957287,0.217342453769707
