entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.431958553,NA,NA,0.140868645,0.230718132,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.139091984,NA,NA,0.632658912,0.731972298,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.0764458,NA,NA,0.792625681,1,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.270643773,NA,NA,0.398148293,0.614615716,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.358329438,NA,NA,0.33867907,0.425692961,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.33921252,NA,NA,0.223955972,0.281829978,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.215663033,NA,NA,0.411805704,0.861346093,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.776085731,NA,NA,0.007343539,0.013947123,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.070668354,NA,NA,0.928041318,0.946559222,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.249744437,NA,NA,0.749534275,0.796864857,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.046356741,NA,NA,0.952787246,1,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.145330818,NA,NA,0.852700063,0.909118784,NA,NA,NA
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.531179847724404,NA,NA,0.0873637633232662,0.527293392617771,34.0817825817542,0.310727639399078,-1.70947086893095
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.30551106614243,NA,NA,0.0748900411254038,0.119263078411867,26.6024117818659,0.732964912381109,-1.78113719236757
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.03767611477622,NA,NA,0.092401235209072,0.192595810427588,26.6024117818659,0.616612821786229,1.68286496503631
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.362527247409875,NA,NA,0.280976551079297,0.629260401361252,38.8900970925445,0.336256160843091,1.07812819399625
152195,NUDT16L2P,NA,transcribed_pseudogene,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.602401566331883,NA,NA,0.151764897753579,0.393350414017425,150.771891897855,0.4202825208994,-1.43332529043261
