entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.280885981,NA,NA,0.092932659,0.273661619,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.278228352,NA,NA,0.116244452,0.21043855,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.433041106,NA,NA,0.017480317,0.071154166,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.131706459,NA,NA,0.482287035,0.718994736,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.361980745,NA,NA,0.039086067,0.854199171,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.630257771,NA,NA,0.003976444,0.016507586,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.525754797,NA,NA,0.021269252,0.055037289,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.19843951,NA,NA,0.346070061,0.961285221,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.152070643,NA,NA,0.470168766,0.819682421,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.210729559,NA,NA,4.18e-07,1.3e-06,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.445733506,NA,NA,6.17e-08,1.89e-07,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.116312005,NA,NA,0.639671617,1,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.62522167,NA,NA,0.008932308,0.021494019,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.191495526,NA,NA,0.510381266,0.633612238,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.081400564,NA,NA,0.790849743,0.855623362,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.193183403,NA,NA,0.507750709,1,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.299660885,NA,NA,0.309193846,0.525591969,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.583050569,NA,NA,0.053893013,0.08703279,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.802580168,NA,NA,0.001214463,0.002417493,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.190679995,NA,NA,0.423452249,0.866958931,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.218203141,NA,NA,0.363916151,0.44888323,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.011461501,NA,NA,0.962217322,0.972030175,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.213030914,NA,NA,0.388511056,0.462516016,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.097115598,NA,NA,0.675850604,1,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.135850125,NA,NA,0.563473468,0.694950591,NA,NA,NA
728190,NUTM2A-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.072804320870786,NA,NA,0.716315962161515,0.99776532938064,182.047514083486,0.200349383103138,0.363386798317752
728190,NUTM2A-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.78416251061675,NA,NA,1.93385099108004e-11,9.41876096525546e-11,232.965371661915,0.265859121578124,-6.71093209074817
728190,NUTM2A-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.608057752069961,NA,NA,0.0119117068781349,0.0342591940808409,232.965371661915,0.241796573230712,-2.51474925366199
728190,NUTM2A-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.0428991316794063,NA,NA,0.806863305499913,0.924806207850071,153.051038820471,0.175474832081056,0.244474556098109
