entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.685395379,NA,NA,6.99e-06,3e-05,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.93900804,NA,NA,8.19e-09,4.63e-08,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.063002774,NA,NA,0.633843567,1,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.649044381,NA,NA,1.24e-05,9.47e-05,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.196250972,NA,NA,0.174161322,0.242134782,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.225360643,NA,NA,0.092818198,0.129095821,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.04832046,NA,NA,0.697549318,0.959121764,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.535938316,NA,NA,2.54e-05,7.11e-05,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-2.315939823,NA,NA,2e-06,6.27e-06,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-2.115551246,NA,NA,1.58e-05,4e-05,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.153777411,NA,NA,0.749840869,1,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.309454893,NA,NA,0.006779213,0.018369442,NA,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.715887731808043,NA,NA,0.276556265814526,0.886687260436519,2.20040855703113,0.657931839496174,-1.08808798850083
128506,OCSTAMP,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,3.72664339498258,NA,NA,0.0213549765281996,0.0383146262752012,5.35423085694782,1.61911892495714,2.3016489632355
128506,OCSTAMP,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,2.64643953259176,NA,NA,0.102265669270138,0.209159965341014,5.35423085694782,1.61964022466787,1.63396752703795
128506,OCSTAMP,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,NA,NA,NA,NA,NA,0,NA,NA
128506,OCSTAMP,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.109154880865453,NA,NA,0.975358233704882,0.986307224021891,0.0982162234930548,3.53380296008848,0.0308887852826747
