entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.430483298,NA,NA,0.118217245,0.313306114,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.03563784,NA,NA,0.898551514,0.934539543,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.374001376,NA,NA,0.178003442,0.360610545,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.050326092,NA,NA,0.869558267,0.947508519,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.331722091,NA,NA,0.279193828,1,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,1.193589782,NA,NA,0.000123266,0.000929036,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.549408337,NA,NA,0.066817784,0.138691806,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.258240217,NA,NA,0.412598658,0.984145595,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.547340669,NA,NA,0.076040617,0.386027368,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,2.646608505,NA,NA,2.76e-19,2.72e-18,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,3.229093714,NA,NA,3.9e-25,4.42e-24,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.526763699,NA,NA,0.087599608,0.680303089,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,1.962276658,NA,NA,9.11e-10,9.57e-09,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.010889407,NA,NA,0.055188234,0.104980438,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.459514553,NA,NA,0.006059021,0.014235463,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.02402,NA,NA,0.962707912,1,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.589695373,NA,NA,0.270618146,0.481005157,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,3.092368474,NA,NA,4.37e-08,1.95e-07,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.721592811,NA,NA,3.51e-09,1.36e-08,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.403592706,NA,NA,0.348179982,0.829999887,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.510775539,NA,NA,0.001256126,0.002713091,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,3.043846964,NA,NA,5.08e-09,2.14e-08,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.87727224,NA,NA,1.6e-08,5.53e-08,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.163805731,NA,NA,0.744860337,1,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.870041677,NA,NA,0.094428273,0.175329475,NA,NA,NA
90271,OLMALINC,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.349576793491556,NA,NA,0.311815411117429,0.930200211621164,190.829652779971,0.345629672531264,-1.01142008708739
90271,OLMALINC,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.632814026979791,NA,NA,0.00895586810714143,0.0172657897294173,229.258130355666,0.242111086919182,2.61373419545643
90271,OLMALINC,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.018051443838503,NA,NA,0.93987646099951,1,229.258130355666,0.239329286445634,-0.0754251354131856
90271,OLMALINC,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.663753180363964,NA,NA,0.00241625855303384,0.0133422451081955,119.917480574126,0.218797905353044,-3.0336358992695
90271,OLMALINC,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.900289043645745,NA,NA,0.0425869094541694,0.153729433224932,247.676152647033,0.443986684255104,-2.02773883896135
