entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
55248,PACC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.401773695,NA,NA,0.001333745,0.003861712,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.306186099,NA,NA,0.0179454,0.037578141,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.009092721,NA,NA,0.94367158,1,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.014923286,NA,NA,0.907891235,0.968409023,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.069176252,NA,NA,7.37e-08,3.2e-07,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.634272214,NA,NA,2.84e-05,7.09e-05,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.126669863,NA,NA,0.387110478,0.851894678,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.858954998,NA,NA,4.95e-08,1.93e-07,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-2.170626276,NA,NA,1.54e-32,3.97e-31,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-2.507737066,NA,NA,5.83e-38,1.51e-36,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.049192679,NA,NA,0.773447309,1,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.179450184,NA,NA,1.45e-11,1.74e-10,NA,NA,NA
55248,PACC1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0179755477777452,NA,NA,0.901470852453204,0.99776532938064,182.752940791099,0.145194168946968,-0.123803510210598
55248,PACC1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.13888321424241,NA,NA,4.82608777070245e-07,1.6102139380968e-06,305.766747937413,0.226278634552295,-5.033100966407
55248,PACC1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.0950163324431266,NA,NA,0.650827331617118,0.822360782773426,305.766747937413,0.209928353779514,-0.452613145068157
55248,PACC1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.0547378032588789,NA,NA,0.687509135311079,0.924806207850071,264.696115413998,0.13608324109468,0.402237651150557
55248,PACC1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.469596130908943,NA,NA,0.0116758660924134,0.0558426692828281,124.728162826176,0.186215236962831,2.52179219363599
