entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
51678,PALS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.049323155,NA,NA,0.859517196,0.912025796,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.876257137,NA,NA,0.004387954,0.010645788,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.170119933,NA,NA,0.54805245,1,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.094324063,NA,NA,0.746452779,0.881199746,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.039676279,NA,NA,0.006017893,0.012078821,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.382568861,NA,NA,0.237777481,0.297140045,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.023623881,NA,NA,0.945343186,1,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.839620486,NA,NA,0.013069339,0.02357735,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.138536262,NA,NA,0.000470851,0.001069687,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.526264613,NA,NA,2.69e-06,7.38e-06,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.061663862,NA,NA,0.848926855,1,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.5384676,NA,NA,0.099060313,0.182394328,NA,NA,NA
51678,PALS2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.144703266345539,NA,NA,0.341961769186226,0.956735482135525,135.403749977098,0.152271750996375,-0.95029620004162
51678,PALS2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.75648285121995,NA,NA,1.65491808132472e-18,1.23805564257678e-17,581.282141611428,0.200086430070254,-8.77862057213582
51678,PALS2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.886704057900985,NA,NA,2.7663363535863e-06,2.15928516150962e-05,581.282141611428,0.18916565102602,-4.68744749954113
51678,PALS2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.370361346586357,NA,NA,0.000956261438853103,0.0058732934877252,444.35340923609,0.112125765646084,-3.30308867415338
51678,PALS2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.254980016961772,NA,NA,0.30848352020866,0.634253703501142,101.951073076758,0.250370883150686,1.01840922455952
