entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.29625052,NA,NA,0.285670641,0.518123849,NA,NA,NA
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.978467999,NA,NA,0.000538376,0.003289983,NA,NA,NA
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.710443844,NA,NA,0.013229856,0.057711603,NA,NA,NA
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.698013081,NA,NA,0.044012949,0.242422309,NA,NA,NA
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.23591441,NA,NA,0.458545311,1,NA,NA,NA
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.677520648,NA,NA,0.100697589,0.209520611,NA,NA,NA
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.357921573,NA,NA,0.382939811,0.522599814,NA,NA,NA
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.381697101,NA,NA,0.34577268,0.961285221,NA,NA,NA
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.787751208,NA,NA,0.049266162,0.302391631,NA,NA,NA
100132707,PAXIP1-AS2,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.159304877,NA,NA,0.005201407,0.009376612,NA,NA,NA
