entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.074821345,NA,NA,0.850975514,0.930137427,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.35913217,NA,NA,0.370529639,0.499633787,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.18575971,NA,NA,0.642047701,0.79058647,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.511755366,NA,NA,0.205813866,0.473148348,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.062086526,NA,NA,0.877549309,1,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.985154411,NA,NA,0.029113962,0.081873798,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.352031052,NA,NA,0.428166752,0.56674202,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.298318834,NA,NA,0.502028402,0.993525251,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.44991471,NA,NA,0.318266329,0.718962794,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.471792151,NA,NA,0.016563683,0.027246822,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.569973716,NA,NA,0.014206653,0.022613269,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-1.159426163,NA,NA,0.061650958,0.585960482,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.021225896,NA,NA,0.973491788,0.982906725,NA,NA,NA
100506696,PCAT6,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.32889899734358,NA,NA,0.17702279078614,0.74424222939655,66.841392451356,0.243632717110965,-1.34997877642919
100506696,PCAT6,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,1.9783204548415,NA,NA,1.5916254220177e-05,4.51988428284413e-05,50.7099883215909,0.458410354616078,4.3156103149074
100506696,PCAT6,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.470024696924448,NA,NA,0.331924859960712,0.523525874757254,50.7099883215909,0.484439660656448,-0.970244047086346
100506696,PCAT6,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-2.26395932133342,NA,NA,1.65025728885787e-09,2.41354229532464e-08,43.6507045896606,0.375514536482143,-6.02895254746305
100506696,PCAT6,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.42549283994583,NA,NA,0.0223847882425192,0.0933463339379253,72.4110215853229,0.624182839675996,-2.28377447974345
