entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
80262,PHAF1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.654693591,NA,NA,6.58e-09,4.05e-08,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.912903364,NA,NA,4.62e-15,4.42e-14,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.093595484,NA,NA,0.417022266,1,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.563943229,NA,NA,1.16e-06,1.04e-05,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.885898584,NA,NA,3.35e-07,1.34e-06,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.00464278,NA,NA,0.971585517,0.977474298,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.102262583,NA,NA,0.421256624,0.866134591,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.715648202,NA,NA,5.74e-08,2.22e-07,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.046595181,NA,NA,4.72e-14,3.24e-13,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.570869672,NA,NA,3.46e-05,8.38e-05,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.079133525,NA,NA,0.551723149,1,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.96744682,NA,NA,6.08e-44,1.02e-41,NA,NA,NA
80262,PHAF1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.185900158131724,NA,NA,0.067572855071952,0.457516019426298,317.997629389382,0.101704566655553,-1.82784474920698
80262,PHAF1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.210694995265467,NA,NA,0.208910760140644,0.295020667755634,748.647743760591,0.167675204979415,1.2565662006576
80262,PHAF1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.0341624588969131,NA,NA,0.835911457130185,0.926637607366014,748.647743760591,0.164935637542126,0.207126000214404
80262,PHAF1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.117299995098041,NA,NA,0.313551358635883,0.671010447178941,349.815054777242,0.116392346344902,-1.0077981824548
80262,PHAF1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.546451510547774,NA,NA,0.00080608577079853,0.00656620101236531,420.271131473846,0.163085943447799,3.35069656522962
