entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
150368,PHETA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.190380519,NA,NA,0.464005153,0.591303022,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.479544433,NA,NA,0.064768052,0.114881922,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.422990304,NA,NA,0.10945867,0.736017757,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.775907792,NA,NA,0.006368759,0.025162729,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.950233029,NA,NA,0.068051736,0.107206312,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.431450682,NA,NA,0.257153798,0.317930736,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-1.096957992,NA,NA,0.01185175,0.116383887,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-2.516169899,NA,NA,9.07e-07,3.01e-06,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-2.997407196,NA,NA,8.52e-14,5.7e-13,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-3.525705874,NA,NA,1.07e-13,5.96e-13,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.53760542,NA,NA,0.081254829,1,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-3.893896151,NA,NA,6.74e-20,1.93e-18,NA,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0329499063631988,NA,NA,0.824749859228184,0.99776532938064,111.719562765509,0.14879835688205,-0.221439988005497
150368,PHETA2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,9.38223894304,NA,NA,1.32620650696652e-09,5.62702440871647e-09,35.6719158049037,1.54715462285589,6.06418958030279
150368,PHETA2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,6.27026874376611,NA,NA,6.10524828181766e-05,0.000343270118208266,35.6719158049037,1.56416295913143,4.00870555536486
150368,PHETA2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,NA,NA,NA,NA,NA,0,NA,NA
150368,PHETA2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.494985173401572,NA,NA,0.0983053261171601,0.288214519495954,82.1518918816596,0.299423834222677,1.65312549245315
