entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.066126881,NA,NA,0.69954189,0.848200718,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.021538186,NA,NA,0.900496033,0.935663863,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.244970724,NA,NA,0.153246398,0.326955275,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.587590703,NA,NA,0.001314762,0.051104509,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.09391777,NA,NA,0.602357743,1,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.124875149,NA,NA,0.567229242,0.708199627,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.26757977,NA,NA,0.193595709,0.317250929,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.06041184,NA,NA,0.762537321,0.999309854,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.177945832,NA,NA,0.39009024,0.774898674,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.161084283,NA,NA,0.469913185,0.542161635,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-0.185586481,NA,NA,0.478128208,0.538177238,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.311412621,NA,NA,0.108820123,0.733707472,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.428647301,NA,NA,0.046273202,0.088771697,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.495009124,NA,NA,0.002218186,0.006136197,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.681859966,NA,NA,3.36e-05,0.000122057,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.0290548,NA,NA,0.856812815,1,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.091280411,NA,NA,0.588593513,0.777319637,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.031891498,NA,NA,0.884109443,0.91284847,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.022302389,NA,NA,0.895856819,0.916214503,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.16932727,NA,NA,0.251586361,0.738988088,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.021279708,NA,NA,0.893915147,0.924023578,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.270875958,NA,NA,0.571771279,0.649288894,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.588364287,NA,NA,0.221152946,0.283135906,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.015193249,NA,NA,0.974572815,1,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.234145982,NA,NA,0.623757845,0.744813572,NA,NA,NA
85007,PHYKPL,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0111669021795945,NA,NA,0.91154341367507,0.99776532938064,1468.45803770555,0.100519433060066,-0.111091973359237
85007,PHYKPL,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.615665150249327,NA,NA,2.22147582299224e-05,6.20664361774251e-05,2554.35110966792,0.14515672884019,4.24138209209126
85007,PHYKPL,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.127578424436884,NA,NA,0.377583330645229,0.575454812902597,2554.35110966792,0.144588079335824,0.88235783352905
85007,PHYKPL,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.0629921657437247,NA,NA,0.487828721467321,0.844041918044611,731.267176730208,0.0907973726622001,0.69376639319817
85007,PHYKPL,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.203278650557736,NA,NA,0.325188376605799,0.654942947845466,298.427615533382,0.206615108811151,-0.983851818617657
