entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,3.570957621,NA,NA,1.64e-59,1.01e-57,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,3.206434102,NA,NA,3.89e-43,1.38e-41,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.112434789,NA,NA,0.667234043,1,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,2.290859194,NA,NA,2.62e-19,6.99e-18,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,3.477771852,NA,NA,1.34e-18,1.5e-17,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,3.479010707,NA,NA,6.04e-25,7.47e-24,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,1.174489135,NA,NA,0.00031177,0.005791564,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,3.446404956,NA,NA,6.6e-24,9.17e-23,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,2.67467694,NA,NA,1.16e-06,3.76e-06,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.822342215,NA,NA,2.37e-07,7.27e-07,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.087859826,NA,NA,0.871308253,1,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.252693227,NA,NA,0.02115293,0.049292122,NA,NA,NA
5920,PLAAT4,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,2.13173874502605,NA,NA,1.32727158551461e-40,1.01900625354558e-37,1187.16259821852,0.159782311378333,13.3415190119419
5920,PLAAT4,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.890068581434873,NA,NA,0.0278553603675385,0.0487789497651725,176.037868723824,0.404702193513266,2.19931741339993
5920,PLAAT4,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,4.27571021677446,NA,NA,9.73539628213748e-33,3.08987679795589e-30,176.037868723824,0.358812359818334,11.9162846534585
5920,PLAAT4,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,5.63300932847889,NA,NA,2.80868463886599e-226,9.39185842991712e-224,824.730731650645,0.175406491162998,32.1140300517405
5920,PLAAT4,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,1.49264445994854,NA,NA,0.00289123213894481,0.0183395254309224,1495.51024538102,0.501043500365635,2.97907159529918
