entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.20177292,NA,NA,0.677622107,0.773749736,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.03380942,NA,NA,0.028615329,0.05652905,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.112950043,NA,NA,0.814186609,1,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.541408525,NA,NA,0.254793287,0.46243517,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,3.024675869,NA,NA,7.88e-06,2.6e-05,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,3.903471448,NA,NA,1.17e-09,4.78e-09,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,1.443293544,NA,NA,0.027981209,0.219039512,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,3.503777024,NA,NA,1.14e-09,5.23e-09,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,2.534646367,NA,NA,0.001552832,0.003235399,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,2.836740926,NA,NA,0.000408979,0.000864968,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.63307682,NA,NA,0.427188982,1,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.260087464,NA,NA,0.114372334,0.205465578,NA,NA,NA
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,2.46625899444739,NA,NA,5.20764284642601e-05,0.00212622790043598,4.02778565054524,0.609538742278094,4.04610703698666
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,3.32317553902189,NA,NA,4.19285291046916e-05,0.000113205544781768,20.0612844598075,0.811205825861413,4.09658736793839
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,2.14463211181221,NA,NA,0.00836604687129721,0.0253490654204501,20.0612844598075,0.813306894570435,2.63692847820372
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,1.01159017940372,NA,NA,0.6209386662256,0.918731958585806,1.27931114650513,2.04559826727594,0.49452045183379
10895,PPBPP2,NA,transcribed_pseudogene,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,NA,NA,NA,NA,NA,0,NA,NA
