entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
5859,QARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.361636082,NA,NA,0.00063851,0.001976273,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.473223855,NA,NA,8.82e-06,3.48e-05,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.010772233,NA,NA,0.91752425,1,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.067600023,NA,NA,0.525009446,0.729843754,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.10829412,NA,NA,6.69e-12,4.39e-11,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-1.192609686,NA,NA,7.23e-25,8.89e-24,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.00975753,NA,NA,0.921350505,1,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.396363839,NA,NA,0.000308748,0.000734043,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.06408298,NA,NA,0.776186382,0.827942867,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.60620174,NA,NA,0.007272121,0.012740862,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.045756159,NA,NA,0.838242734,1,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.093992809,NA,NA,0.675684153,0.784427786,NA,NA,NA
5859,QARS1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.285732291975608,NA,NA,0.00488465609804456,0.0831559606604064,2382.73558807235,0.101519940416358,-2.81454353503115
5859,QARS1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.654718962433,NA,NA,1.90294622373941e-20,1.5834838230076e-19,1627.78224248816,0.178547874438724,-9.26764862160757
5859,QARS1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.19429790908453,NA,NA,9.22397464327244e-12,2.31651071601885e-10,1627.78224248816,0.175165288030706,-6.81811974570652
5859,QARS1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.776791315378563,NA,NA,8.01565050743501e-29,3.62874664356589e-27,1952.98017874021,0.0697301790627217,-11.1399587068297
5859,QARS1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.270661008038493,NA,NA,0.116789676898151,0.327171000641089,4537.4617985043,0.172572295690654,-1.56839200032239
