entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
8934,RAB29,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.0446922,NA,NA,0.796062927,0.900026327,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.535147202,NA,NA,0.002007783,0.009324393,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.259547393,NA,NA,0.135247336,0.30125432,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.327610137,NA,NA,0.070140698,0.29450098,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.217067103,NA,NA,0.215852129,1,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.162185866,NA,NA,0.334495601,0.499774438,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.401375726,NA,NA,0.021465026,0.055495825,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.194775062,NA,NA,0.239206464,0.912623775,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.058266557,NA,NA,0.724652336,0.929362985,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-0.120034873,NA,NA,0.473041752,0.54528261,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-0.143193864,NA,NA,0.423722574,0.485138014,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.181861284,NA,NA,0.285001151,0.958971589,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.166912045,NA,NA,0.314018308,0.427517568,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.824691528,NA,NA,3.73e-14,3.71e-13,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.409083111,NA,NA,0.00038535,0.001159817,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.041775035,NA,NA,0.711156589,1,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.84090398,NA,NA,5.75e-14,1.09e-12,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.086495578,NA,NA,0.599771447,0.679236433,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.2732275,NA,NA,0.038811255,0.058548749,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.271793764,NA,NA,0.024837165,0.200424104,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.833055337,NA,NA,4.88e-11,2.55e-10,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.311189384,NA,NA,0.096349286,0.140860302,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.771883565,NA,NA,5.1e-05,0.000120838,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.075911734,NA,NA,0.680417567,1,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.437470936,NA,NA,0.018387675,0.043768059,NA,NA,NA
8934,RAB29,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.269207287664043,NA,NA,0.00184460506955791,0.0402594824406577,641.279841290878,0.0864458006184784,3.11417426570168
8934,RAB29,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.643767581316059,NA,NA,0.000397254606686371,0.000945138630994821,605.467021448071,0.181757646404254,-3.54190095466042
8934,RAB29,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.595570571621113,NA,NA,0.000763564194966915,0.00314797438587771,605.467021448071,0.176954235496635,-3.36567570677017
8934,RAB29,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.319375353890607,NA,NA,0.000495299681119148,0.00326055669275438,720.813110931173,0.0916879610813733,-3.48328559304706
8934,RAB29,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.719023809722936,NA,NA,7.81076923525361e-05,0.000980075750362831,341.368210795458,0.182025203133667,3.95013326366094
