entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.04474663,NA,NA,0.887129667,0.948248608,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.435769615,NA,NA,0.170580342,0.281101088,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.684862977,NA,NA,0.031274594,0.108778221,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.03132816,NA,NA,0.929705823,0.978726584,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.026667084,NA,NA,0.936205565,1,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.969633812,NA,NA,0.021119959,0.063864406,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.065704197,NA,NA,0.876035821,0.924717784,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.156696762,NA,NA,0.702990814,0.997855584,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.489010883,NA,NA,0.23739507,0.653259456,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.80495386,NA,NA,0.072802946,0.10441644,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.814245635,NA,NA,0.000204115,0.000424809,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.409336742,NA,NA,0.362801595,0.990598439,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.443163964,NA,NA,0.358079581,0.474298123,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.161277729,NA,NA,0.006676562,0.01648149,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.161925471,NA,NA,0.009340807,0.020902383,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.083973112,NA,NA,0.845286103,1,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.29088388,NA,NA,0.518347056,0.724452659,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.619680466,NA,NA,2.38e-14,1.94e-13,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,3.607479792,NA,NA,2.36e-25,3.01e-24,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.004720503,NA,NA,0.98621128,1,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.942359111,NA,NA,0.000863142,0.001917444,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.084421959,NA,NA,0.000206367,0.000495211,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.847776188,NA,NA,8.44e-11,3.66e-10,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.31467209,NA,NA,0.260011232,1,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.504718186,NA,NA,0.082641856,0.157266066,NA,NA,NA
100302401,RASAL2-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.567899746627163,NA,NA,0.20106777859601,0.781730599833856,13.3556514804927,0.444186884406406,1.27851534244664
100302401,RASAL2-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,2.33833032998755,NA,NA,2.26964676969495e-07,7.82591291641266e-07,55.1691752776269,0.451783457073137,5.17577678726074
100302401,RASAL2-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.0252211936132249,NA,NA,0.95739768001535,1,55.1691752776269,0.472134713977963,0.0534194857241574
100302401,RASAL2-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.457645092647469,NA,NA,0.391831179535717,0.764101465146398,15.6498894107721,0.534444042706972,-0.856301232827829
