entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
55196,RESF1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.036210283,NA,NA,0.823933192,0.886864929,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.073893233,NA,NA,0.66023026,0.755074575,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.122392839,NA,NA,0.458433744,1,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.081409289,NA,NA,0.633918408,0.805269784,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.168572925,NA,NA,0.409183832,0.497602869,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.192751572,NA,NA,0.265511731,0.326876513,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.547742235,NA,NA,0.00063406,0.010780317,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.876535212,NA,NA,4.1e-07,1.42e-06,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.669600284,NA,NA,0.077141564,0.11587373,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.267597696,NA,NA,0.000806524,0.001642738,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.33077821,NA,NA,0.382031745,1,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.32144897,NA,NA,0.000523965,0.001888424,NA,NA,NA
55196,RESF1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0199711452484492,NA,NA,0.832774767019861,0.99776532938064,1689.50608079736,0.0945853458942048,-0.211144179467159
55196,RESF1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.90697603325177,NA,NA,5.27972014595439e-19,4.05516310295597e-18,1067.33820840906,0.214117081399815,-8.90623027730761
55196,RESF1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.501839632254065,NA,NA,0.0152519290605427,0.0423048965436524,1067.33820840906,0.206829797732266,-2.42634106766221
55196,RESF1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.399561709341793,NA,NA,3.06870347586868e-06,2.96064486822662e-05,777.684654129557,0.0856295350580377,4.66616698398491
55196,RESF1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.76675869177774,NA,NA,0.000103383227934227,0.00123624482187271,632.331390711734,0.197490397486826,3.88251125895318
