entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.277617844,NA,NA,0.616668564,0.726180937,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.33279422,NA,NA,0.554002288,0.66325978,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.07088197,NA,NA,0.900312344,1,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.0649766,NA,NA,0.908769553,0.968527464,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.404564184,NA,NA,0.570505127,0.652507049,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.15011508,NA,NA,0.001258859,0.002498138,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.41717646,NA,NA,0.544822409,0.922094455,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.12545312,NA,NA,0.098515076,0.144960179,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.425755929,NA,NA,0.004341716,0.00840731,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.896374494,NA,NA,0.093425676,0.131289227,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.513821967,NA,NA,0.325262916,1,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.810257755,NA,NA,0.124284509,0.219567403,NA,NA,NA
101927886,RFX5-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.108339406821156,NA,NA,0.834596199356919,0.99776532938064,3.41282225760523,0.518840879825584,0.208810467782677
101927886,RFX5-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,3.88839096299185,NA,NA,6.50067857803461e-07,2.14374009754904e-06,28.498050992506,0.781473600845274,4.97571633742459
101927886,RFX5-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,2.57637433955468,NA,NA,0.00102790330517831,0.00409171700820929,28.498050992506,0.784815774200592,3.28277593831362
101927886,RFX5-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,2.15312737003967,NA,NA,0.0184622994715885,0.0778549189238985,6.4220716606614,0.913808236192447,2.35621357387965
101927886,RFX5-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.130558359640581,NA,NA,0.878602386783918,0.986307224021891,3.97441312723411,0.854768581503022,-0.15274117751381
