entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
28984,RGCC,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.504592487,NA,NA,0.058690154,0.20951886,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-1.193741065,NA,NA,1.6e-05,0.000187203,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-1.174034749,NA,NA,1.77e-05,0.000235633,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.594771337,NA,NA,0.038050375,0.229924264,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.271402935,NA,NA,0.344956952,1,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-1.435654881,NA,NA,0.000355228,0.002236032,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.931597093,NA,NA,0.016383876,0.044373236,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.893286003,NA,NA,0.01335964,0.321891528,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.597169955,NA,NA,0.108530597,0.461119737,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-1.258500946,NA,NA,0.0022415,0.004303892,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-0.20410493,NA,NA,0.602094254,0.65620077,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.263074029,NA,NA,0.379514797,0.996780715,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.420993887,NA,NA,0.254655103,0.362075642,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.070425414,NA,NA,0.508556827,0.632018689,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.577891349,NA,NA,1.01e-07,5.05e-07,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.115373811,NA,NA,0.273350733,0.949653903,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.162673494,NA,NA,0.126252791,0.278512643,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.222923169,NA,NA,0.04794028,0.07859538,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.188622839,NA,NA,0.084402696,0.118631013,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.188628957,NA,NA,0.076040534,0.416697806,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.058266916,NA,NA,0.585196332,0.662438644,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.404174523,NA,NA,1.78e-08,7.11e-08,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.355460837,NA,NA,5.83e-08,1.91e-07,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.217933555,NA,NA,0.381035313,1,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.639808441,NA,NA,0.010151488,0.026214206,NA,NA,NA
28984,RGCC,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0862232346067931,NA,NA,0.692285383377283,0.99776532938064,2650.34145378621,0.217869940767548,-0.395755533338063
28984,RGCC,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.821068220235576,NA,NA,0.157349860551147,0.230685174186937,33.0131711775575,0.580653751987068,1.41404101398773
28984,RGCC,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.12681774613903,NA,NA,0.82503490796959,0.918812705709184,33.0131711775575,0.57364418735813,0.221073879826236
28984,RGCC,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-1.91391221331412,NA,NA,0.000345568451119431,0.00234788668728709,17.4091833548485,0.534836057207176,-3.57850258508794
