entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.205760413,NA,NA,0.611165493,0.786992085,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.02528778,NA,NA,0.950105591,0.967639013,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.561900682,NA,NA,0.161893839,0.339128305,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.189153456,NA,NA,0.628140921,0.818623471,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.501113123,NA,NA,0.209492484,1,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,1.172930812,NA,NA,0.008526458,0.030902156,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.30540096,NA,NA,0.483855291,0.618404143,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.129474242,NA,NA,0.771718044,0.999309854,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.374400873,NA,NA,0.405982401,0.785440866,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.468984832,NA,NA,0.524617232,0.595012909,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.71544234,NA,NA,0.020907866,0.032253139,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.107220555,NA,NA,0.884938968,1,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.021965952,NA,NA,0.976277423,0.985011262,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.257263363,NA,NA,0.649973393,0.751108532,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.160983071,NA,NA,0.041090707,0.077607376,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.04916441,NA,NA,0.931157679,1,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.558670848,NA,NA,0.32790867,0.546597327,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.494099576,NA,NA,0.494744555,0.582489448,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.264022094,NA,NA,0.711866248,0.76048266,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.333298463,NA,NA,0.645039328,0.951576254,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.234979011,NA,NA,0.097457854,0.143641995,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.541785399,NA,NA,0.433532499,0.515239139,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.064730112,NA,NA,0.922617119,0.939043814,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.140182061,NA,NA,0.829751455,1,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.247204325,NA,NA,0.714717905,0.814070708,NA,NA,NA
78998,RHPN1-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.379883116994199,NA,NA,0.318531042133623,0.93764423065676,5.79463300114148,0.380842420092212,-0.997481102294799
78998,RHPN1-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.16893764075672,NA,NA,0.743271478591522,0.821761664355343,40.5447481500192,0.515802085498046,0.327524152201901
78998,RHPN1-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.258381046065515,NA,NA,0.601236613840695,0.785919782322271,40.5447481500192,0.494392771438139,0.522623025643986
78998,RHPN1-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.839352728674609,NA,NA,0.00433974834082686,0.0223098243670809,49.6542928764012,0.294267235224733,2.85234857368199
78998,RHPN1-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.5003410376985,NA,NA,0.000114369083776915,0.00134734721641678,85.3705759039709,0.38890175615363,-3.85789216417375
