entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,6.101839421,NA,NA,7.46e-180,4.78e-177,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,5.974992281,NA,NA,3.3e-97,4.57e-95,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.186953861,NA,NA,0.551651454,1,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,4.213365892,NA,NA,2.07e-78,4.42e-76,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,4.826424708,NA,NA,2.33e-49,1.23e-47,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,5.658235895,NA,NA,2.14e-63,1.22e-61,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,1.757804713,NA,NA,3.6e-09,1.5e-07,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,3.739394471,NA,NA,3.63e-43,1.38e-41,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,8.111152069,NA,NA,5.88e-99,3.36e-96,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,7.608216889,NA,NA,3.07e-108,1.35e-105,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,1.113051913,NA,NA,0.003368243,0.168270457,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,6.384188474,NA,NA,5.25e-49,1.23e-46,NA,NA,NA
9750,RIPOR2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.448592924041952,NA,NA,0.0273810301506069,0.268294353239994,395.09932532152,0.20334737051122,2.20604241360081
9750,RIPOR2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,5.13533266912927,NA,NA,4.84240747321343e-24,4.8182611807032e-23,113.74469943423,0.507799690684656,10.1129101953674
9750,RIPOR2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,4.22586009385236,NA,NA,7.80974737131621e-17,4.2887642648912e-15,113.74469943423,0.507057259809231,8.33408853162312
9750,RIPOR2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,9.00589059274523,NA,NA,9.64739163074199e-14,2.04970502618205e-12,48.1733061279239,1.2095518818882,7.44564224784337
9750,RIPOR2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.81674904648684,NA,NA,1.21984152260045e-05,0.000204477772336628,948.570407856482,0.415350805041098,-4.37401113573641
