entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.699764911,NA,NA,0.066650321,0.123293881,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.55538315,NA,NA,4.62e-05,0.000163861,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.836920335,NA,NA,0.028148465,0.384346004,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.32344144,NA,NA,0.398715935,0.615097726,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.690287205,NA,NA,1.28e-08,6.04e-08,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,4.078847969,NA,NA,5.63e-18,4.45e-17,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.398909225,NA,NA,0.398767329,0.855980076,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.514039664,NA,NA,0.001354041,0.002906735,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.150665986,NA,NA,0.153160277,0.211441173,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.132525766,NA,NA,0.159742628,0.212471734,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.037010376,NA,NA,0.963353836,1,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.805544685,NA,NA,0.317302505,0.456100073,NA,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,NA,NA,NA,NA,NA,0,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,NA,NA,NA,NA,NA,0,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,NA,NA,NA,NA,NA,0,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,NA,NA,NA,NA,NA,0,NA,NA
100008589,RNA28SN5,NA,rRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,NA,NA,NA,NA,NA,0,NA,NA
