entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,3.906064229,NA,NA,9.99e-14,9.61e-13,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,3.299501677,NA,NA,1.28e-09,7.86e-09,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,1.112060256,NA,NA,0.045263367,0.495770788,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,2.475705374,NA,NA,6.57e-06,5.23e-05,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,3.390764045,NA,NA,1.59e-06,5.83e-06,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,3.285794499,NA,NA,6.43e-07,1.96e-06,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,2.560301769,NA,NA,0.000151218,0.003023778,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,4.256437997,NA,NA,1.55e-10,7.72e-10,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,3.945268579,NA,NA,2.57e-07,9.04e-07,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,3.252348493,NA,NA,1.89e-05,4.74e-05,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,1.505887911,NA,NA,0.047815246,0.820137719,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,2.863908274,NA,NA,0.000174408,0.000702411,NA,NA,NA
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0434120921838822,NA,NA,0.988554362769018,0.99776532938064,0.0346959643654071,3.02618800583873,-0.0143454709687973
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-3.2767551185992,NA,NA,0.0849948906942166,0.133581863535793,5.23376670797064,1.90242224318227,-1.72241211452513
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.0213355896115313,NA,NA,0.987061232641068,1,5.23376670797064,1.31562697858725,0.0162170508501141
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.0693440839838516,NA,NA,0.984134561923929,0.992762699507605,0.385685433992597,3.48713520656151,-0.0198856883591354
100506388,RPH3AL-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,NA,NA,NA,NA,NA,0,NA,NA
