entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
340526,RTL5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.644522943,NA,NA,6.87e-12,5.68e-11,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,2.04959367,NA,NA,1.04e-16,1.11e-15,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.674829373,NA,NA,0.004373308,0.123714761,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.770405491,NA,NA,0.003676824,0.015669523,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.365994945,NA,NA,0.002257446,0.004924845,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.073508434,NA,NA,5.47e-08,1.89e-07,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.788865066,NA,NA,0.030776966,0.233871528,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.144740747,NA,NA,0.71316507,0.775181607,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.469493344,NA,NA,0.000682119,0.00150793,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.719482567,NA,NA,6.26e-05,0.000146329,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.001898752,NA,NA,0.996454324,1,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.231944832,NA,NA,0.59080085,0.717955815,NA,NA,NA
340526,RTL5,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.260519576786342,NA,NA,0.182682685816388,0.75369200432928,424.026617262276,0.195505954776647,1.33254036729454
340526,RTL5,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.346965832247172,NA,NA,0.117808174902842,0.178519244886608,290.327709605816,0.221839487577367,1.56404000043575
340526,RTL5,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.2491661494546,NA,NA,0.249129384218432,0.423762806223427,290.327709605816,0.216202489494484,1.15246660682396
340526,RTL5,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.46560140196793,NA,NA,0.00249909926826618,0.0137635214426353,203.832807801692,0.153996701864524,3.0234504786832
340526,RTL5,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.798355356710006,NA,NA,0.0187377330352468,0.0812143550527689,118.171496445783,0.339623366785871,-2.35070797473532
