entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.315219798,NA,NA,0.436115749,0.658499407,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.540291841,NA,NA,0.181361163,0.29392107,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.24566691,NA,NA,0.543580739,0.720870826,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.11067659,NA,NA,0.774678616,0.89992452,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.016969464,NA,NA,0.966339086,1,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.199194216,NA,NA,0.634178223,0.759617533,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.326819672,NA,NA,0.451007118,0.587904358,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.040569846,NA,NA,0.926019007,1,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.242680225,NA,NA,0.576453699,0.873577719,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.892716967,NA,NA,0.180443764,0.234347869,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,3.149533551,NA,NA,1.45e-06,3.87e-06,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.5049802,NA,NA,0.480605645,1,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,1.511484112,NA,NA,0.031362913,0.063644387,NA,NA,NA
386627,SAP30L-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0111606887874669,NA,NA,0.951558918955147,0.99776532938064,39.7590295954728,0.183717350524358,-0.0607492365615582
386627,SAP30L-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.7797644425233,NA,NA,2.14437910691052e-28,2.61846813212206e-27,363.22608872378,0.251517375992669,-11.0519777472723
386627,SAP30L-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.09046739952885,NA,NA,8.94394669048373e-07,7.90424475334397e-06,363.22608872378,0.22193041934417,-4.91355535104792
386627,SAP30L-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.694081133548069,NA,NA,9.80522413558422e-05,0.000744205636867943,201.950872393102,0.178181427611356,-3.89536183906876
386627,SAP30L-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.189339001133421,NA,NA,0.837564890732333,0.986307224021891,3.68531831472574,0.923563168333681,0.205009259382909
