entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100130827,SBK3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,1.371575157,NA,NA,0.015862679,0.035631408,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.894913183,NA,NA,0.110795733,0.181892133,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.120656142,NA,NA,0.831692175,1,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.533348564,NA,NA,0.344175751,0.564059705,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.271118286,NA,NA,0.078486236,0.121523773,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,1.9803924,NA,NA,0.006537235,0.011467648,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.100900845,NA,NA,0.877124282,0.990761621,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.414595287,NA,NA,0.530445107,0.610898323,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.798722764,NA,NA,0.311308734,0.390260917,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.258009249,NA,NA,0.111307536,0.153662532,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.122366172,NA,NA,0.877540738,1,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.43109255,NA,NA,0.586930532,0.714715361,NA,NA,NA
100130827,SBK3,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.894669178815878,NA,NA,0.00010126018181691,0.00380572383536487,34.5460708747683,0.230136886655074,3.88755228168528
100130827,SBK3,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.945216003676584,NA,NA,0.00136822549303696,0.00300924500318295,134.803529179037,0.295262681039388,3.20127149272377
100130827,SBK3,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.194956582912438,NA,NA,0.504998972473255,0.706325985806077,134.803529179037,0.292444416253731,0.666644914646925
100130827,SBK3,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.636201032982498,NA,NA,0.00262424065579016,0.0143613363469,104.028203972069,0.21145835380288,3.00863513567102
100130827,SBK3,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,2.34084887167494,NA,NA,0.484279620416429,0.820289698616605,0.466355651142062,3.34676653806455,0.699435961562072
