entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.176344017,NA,NA,0.412573233,0.638832441,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.080214801,NA,NA,0.714430325,0.799845153,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.501598789,NA,NA,0.022268098,0.084891285,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,-0.054239808,NA,NA,0.822459982,0.923064515,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.191947125,NA,NA,0.388032758,1,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.221815993,NA,NA,0.473703595,0.6293904,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.22130389,NA,NA,0.453990866,0.590696853,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.260713971,NA,NA,0.346900619,0.961403883,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.361102589,NA,NA,0.20754613,0.622456821,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.611029168,NA,NA,0.029536598,0.046398471,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.144848571,NA,NA,0.000155894,0.00032951,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.286301978,NA,NA,0.284473371,0.958971589,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.203298086,NA,NA,0.475586006,0.589702221,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.285346327,NA,NA,0.314148311,0.438616254,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.048882836,NA,NA,0.866862246,0.911592181,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.360544993,NA,NA,0.212978073,0.905654257,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.636675734,NA,NA,0.033065634,0.098176162,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.098277236,NA,NA,0.012827901,0.024034993,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.056565033,NA,NA,0.856619349,0.884109975,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.685296804,NA,NA,0.026488677,0.210667546,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-2.482172807,NA,NA,2.66e-10,1.3e-09,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.779332566,NA,NA,0.000191271,0.000460776,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.448719159,NA,NA,0.034067068,0.052484364,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.360996993,NA,NA,0.070246898,0.997402307,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-2.117337,NA,NA,9.69e-19,2.46e-17,NA,NA,NA
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.259596973844927,NA,NA,0.0264782662001374,0.262470003307944,64.7262743605445,0.116981715963825,-2.21912434525413
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,1.53397625256651,NA,NA,4.56294026090138e-10,2.00068526092041e-09,243.925097924041,0.246088125422723,6.23344279587442
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.49030677132775,NA,NA,0.0462232938903611,0.108500380277933,243.925097924041,0.245971419351709,1.99334854683532
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.0245608439177494,NA,NA,0.935144797688733,0.981370789354537,46.7584349249335,0.301827945254067,-0.0813736577541719
54581,SCAND2P,NA,transcribed_pseudogene,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.16415105891652,NA,NA,0.00233149012272774,0.015435651714257,24.0342102840172,0.382391629010507,-3.04439472675938
