entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.876050926,NA,NA,3.77e-12,3.17e-11,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.753610636,NA,NA,7.36e-09,4.17e-08,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.039822628,NA,NA,0.745989244,1,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.347904392,NA,NA,0.008745664,0.032970855,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.35510289,NA,NA,0.122871771,0.179584504,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.616438516,NA,NA,0.000223293,0.000497112,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.028439834,NA,NA,0.842445395,0.983577482,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.536612554,NA,NA,0.000579601,0.001321805,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.196259984,NA,NA,0.335401772,0.415537492,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.023217875,NA,NA,0.910099472,0.928673425,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.046822336,NA,NA,0.81319148,1,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.167557862,NA,NA,0.402015537,0.545766761,NA,NA,NA
23157,SEPTIN6,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.244287231948185,NA,NA,0.0458403760890447,0.365193224997448,1099.644047756,0.122335673181632,1.99686016020438
23157,SEPTIN6,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.410805522309759,NA,NA,0.0201029602703494,0.0362489989521895,616.269639704326,0.176734587021033,2.32442064246807
23157,SEPTIN6,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.00736757166861366,NA,NA,0.966309854541009,1,616.269639704326,0.174434519386506,0.0422368903501769
23157,SEPTIN6,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.546507358731469,NA,NA,4.86934483992203e-09,6.83287273531453e-08,617.285785210182,0.0933948885835737,5.8515767513597
23157,SEPTIN6,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.048735957449417,NA,NA,0.832593842830212,0.986307224021891,221.57238161162,0.230565180607331,-0.211376051323282
