entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.037813224,NA,NA,0.941005945,0.969740875,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.452936822,NA,NA,0.389540254,0.507332005,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.277993004,NA,NA,0.578212125,1,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.046624831,NA,NA,0.928605655,0.979660823,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.611626926,NA,NA,0.217645147,0.292384313,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.676056109,NA,NA,0.142395328,0.188877528,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.64852485,NA,NA,0.084757358,0.442532132,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.651554203,NA,NA,0.117585453,0.169530834,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-2.249904599,NA,NA,3.86e-05,0.000102718,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.098717285,NA,NA,0.040197817,0.061076151,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.137727009,NA,NA,0.750543692,1,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.714748503,NA,NA,0.000229916,0.000901961,NA,NA,NA
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.11241799733809,NA,NA,0.721934710422353,0.99776532938064,265.218992072047,0.315892438477668,-0.355874290248443
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,1.05794287633641,NA,NA,0.37551674602713,0.485465505592276,7.31792603070609,1.19381443000996,0.886187040248442
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.724900373289399,NA,NA,0.534034868080823,0.731053742998872,7.31792603070609,1.16569973582699,0.621858572160632
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-1.35329929370271,NA,NA,0.242843092353857,0.573369239798169,3.35928824517063,1.1587359966712,-1.16790994462108
100287216,SH3RF3-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.451963705062461,NA,NA,0.717733876297737,0.954727537010043,2.18571461150444,1.2502831924308,-0.361489067275834
