entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
149840,SHLD1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.23931463,NA,NA,0.397298989,0.525564628,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.205828055,NA,NA,0.471729103,0.58704829,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.160717827,NA,NA,0.565461795,1,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.503253693,NA,NA,0.09278397,0.220585898,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.056838183,NA,NA,0.013149604,0.024607884,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.087267704,NA,NA,0.81458623,0.848213669,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.036482483,NA,NA,0.913787226,0.99880298,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.401820661,NA,NA,0.236741136,0.312543651,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.101644982,NA,NA,0.812457477,0.856980257,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.525316899,NA,NA,0.227119344,0.289743845,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.118171013,NA,NA,0.775068912,1,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.440794074,NA,NA,0.297108681,0.434431195,NA,NA,NA
149840,SHLD1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.234749529959089,NA,NA,0.150635704136002,0.687509149719681,41.6837612019078,0.163327918938311,-1.43728966538632
149840,SHLD1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.799138510607098,NA,NA,0.000429328809854997,0.00101682740863947,273.496049384331,0.226939886594691,3.52136648430754
149840,SHLD1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.645636937371236,NA,NA,0.00489910238993745,0.0160026757806806,273.496049384331,0.229470521522222,-2.81359423898252
149840,SHLD1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.347404644147153,NA,NA,0.0445400235812649,0.161806757271889,184.322819199318,0.172926508799431,-2.00897275125176
149840,SHLD1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.0991989457779599,NA,NA,0.731141517996333,0.959995953986614,117.289897332337,0.288698468393094,0.343607454276098
