entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.357097953,NA,NA,0.471277386,0.597748924,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.520846537,NA,NA,0.313234487,0.428172456,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.041347472,NA,NA,0.932985251,1,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.567548751,NA,NA,0.263305598,0.471833094,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.087004521,NA,NA,0.895854548,0.921646562,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.546961001,NA,NA,0.414712426,0.480804785,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.695069115,NA,NA,0.238837465,0.725514768,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.353321488,NA,NA,0.571118995,0.649312412,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.989364618,NA,NA,0.054534173,0.084948943,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.464647618,NA,NA,0.004678335,0.008478453,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.070169311,NA,NA,0.892608199,1,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.204585685,NA,NA,0.700776967,0.803348733,NA,NA,NA
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.186365059857845,NA,NA,0.561676203580236,0.99776532938064,8.78677464825465,0.321123306540323,0.580353577775718
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,0.847081628103744,NA,NA,0.0547111688203088,0.0899167329694613,54.3707176064881,0.440921283029012,1.92116293929955
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.248377009022581,NA,NA,0.573644155763789,0.763978021840521,54.3707176064881,0.441407910342643,-0.562692700341002
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.30087993059958,NA,NA,0.59376380079834,0.907304783186906,14.9351960319261,0.564090183536931,0.53338976529075
439965,SHLD2P3,NA,transcribed_pseudogene,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-1.04639230068135,NA,NA,0.358175192575818,0.693279278562515,3.03828750141686,1.13880918465481,-0.918847788357561
