entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.497726934,NA,NA,0.373729806,0.50186108,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.05847906,NA,NA,0.916295692,0.948021676,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.198105501,NA,NA,0.724415827,1,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.047543894,NA,NA,0.931906755,0.981730083,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,2.21032605,NA,NA,0.001143682,0.002656088,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,3.032429163,NA,NA,4.65e-07,1.45e-06,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.534625691,NA,NA,0.383610448,0.849977878,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.158868041,NA,NA,0.08124171,0.122713139,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.963604845,NA,NA,1.91e-07,6.8e-07,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,3.121915232,NA,NA,2.25e-16,1.54e-15,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.643321673,NA,NA,0.113464124,1,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.991295568,NA,NA,2.64e-08,2.05e-07,NA,NA,NA
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.624651107583198,NA,NA,0.0158297141525062,0.187765058358492,143.841437110537,0.258888594885976,-2.41281817709396
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.296460545492585,NA,NA,0.308218952836541,0.411108191625919,144.487642166517,0.29094243602511,-1.01896632730125
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.550569711758794,NA,NA,0.0511963731268585,0.11818809371152,144.487642166517,0.282368044692212,-1.94983009624524
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.14953000870649,NA,NA,0.445802890948581,0.806925993052404,132.447890640295,0.196122711758538,-0.762430864664913
100288152,SLC9A3-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.139317809155883,NA,NA,0.68983446202864,0.936220735522067,84.1303309107633,0.349097688723663,-0.399079723687781
