entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.001957344,NA,NA,0.996078521,0.998921496,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,0.316334072,NA,NA,0.430261976,0.55776305,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.43672666,NA,NA,0.275508361,0.476054539,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.437711851,NA,NA,0.277435446,0.546941258,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.521854726,NA,NA,0.195638842,1,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.245204817,NA,NA,0.595803397,0.730933577,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,1.61700058,NA,NA,0.000488341,0.002329767,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.05839547,NA,NA,0.899130584,1,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.506911685,NA,NA,0.273228667,0.679450373,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,1.278496191,NA,NA,0.035406107,0.054705977,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,2.518283539,NA,NA,8.87e-05,0.00019277,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.096334924,NA,NA,0.893509626,1,NA,NA,NA
100506540,SPTY2D1-AS1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.452338528,NA,NA,0.463871605,0.578239627,NA,NA,NA
