entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.015692626,NA,NA,0.94266376,0.97444109,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.857845509,NA,NA,0.000173537,0.00133399,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.268681142,NA,NA,0.242147452,0.439133835,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.638371485,NA,NA,0.004402237,0.094736154,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.063182227,NA,NA,0.777585141,1,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.080128364,NA,NA,0.793168675,0.875421945,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.539316844,NA,NA,0.081810911,0.16285201,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.310018287,NA,NA,0.258557895,0.920264531,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.192445299,NA,NA,0.504493987,0.837057519,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.787208715,NA,NA,0.006343047,0.011254757,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,1.209407531,NA,NA,9.49e-05,0.000205459,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.001118036,NA,NA,0.996328826,1,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.022458563,NA,NA,0.938931033,0.959803069,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.725665875,NA,NA,0.003990734,0.010416113,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.430025905,NA,NA,0.097599508,0.163505207,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.185596544,NA,NA,0.42551529,1,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.778157243,NA,NA,0.002739544,0.012216412,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,0.101445534,NA,NA,0.712558525,0.776874493,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.534653854,NA,NA,0.021693468,0.034364501,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.609846604,NA,NA,0.002092423,0.029552359,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.347488859,NA,NA,5.53e-09,2.35e-08,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.539759179,NA,NA,1.5e-10,7.49e-10,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-0.459495975,NA,NA,0.050784218,0.075722591,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.114639905,NA,NA,0.607180106,1,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.265772471,NA,NA,4.16e-08,3.14e-07,NA,NA,NA
283687,ST20-AS1,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.236036554767366,NA,NA,0.0399906401645049,0.333866421245456,90.2818908805985,0.11492419754693,-2.05384557652429
283687,ST20-AS1,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,1.26666668275026,NA,NA,7.21114368075222e-06,2.12802386326789e-05,153.54042703603,0.282274412472091,4.48735920361007
283687,ST20-AS1,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.114556285030215,NA,NA,0.687729220821084,0.849529264590612,153.54042703603,0.285009420875024,-0.40193859093678
283687,ST20-AS1,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.0224471833274627,NA,NA,0.920911150577394,0.973663895766616,94.7970345448632,0.226085963770077,0.0992860545305274
283687,ST20-AS1,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.140903828231085,NA,NA,0.594432311053063,0.899634150297103,111.265527624132,0.264645859434277,-0.532424079984811
