entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
85369,STRIP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.213307191,NA,NA,0.134655659,0.337042701,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.201053433,NA,NA,0.16149708,0.269615493,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.062254589,NA,NA,0.665884627,0.806441713,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.20451205,NA,NA,0.163261566,0.425367453,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.084440027,NA,NA,0.559515739,1,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.150893845,NA,NA,0.334499035,0.499774438,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.213824287,NA,NA,0.164599666,0.281091744,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.188314754,NA,NA,0.211170636,0.897708248,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.060453342,NA,NA,0.687942478,0.917038903,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-1.423604948,NA,NA,6.53e-17,5.23e-16,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-1.366207439,NA,NA,8.32e-13,3.99e-12,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.019277394,NA,NA,0.887939922,1,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-1.085478652,NA,NA,2.84e-12,4.71e-11,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.144477793,NA,NA,0.195276429,0.301626917,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.498883276,NA,NA,1.15e-05,4.47e-05,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.010193402,NA,NA,0.927232437,1,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.341701106,NA,NA,0.003146142,0.01375281,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.867631713,NA,NA,9.81e-06,3.2e-05,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.147603374,NA,NA,0.320646009,0.385679636,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,-0.364729893,NA,NA,0.012225882,0.119298951,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.369466597,NA,NA,5.76e-17,4.89e-16,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-1.786565656,NA,NA,1.33e-14,9.66e-14,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.490462235,NA,NA,1.42e-10,6.02e-10,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.153932739,NA,NA,0.490363242,1,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-1.438648458,NA,NA,2.37e-10,2.43e-09,NA,NA,NA
85369,STRIP1,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-6.96094369501469e-05,NA,NA,0.999625726331191,0.999998213227458,965.683449113403,0.148394871508394,-0.000469082497545808
85369,STRIP1,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.08834929315155,NA,NA,7.61565680715607e-09,3.03122242108074e-08,545.004569128788,0.188401606987532,-5.77675164534864
85369,STRIP1,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.150564849783231,NA,NA,0.398116014401702,0.597418573712959,545.004569128788,0.17818520880058,-0.844990730693807
85369,STRIP1,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.276555960135371,NA,NA,0.0101591258720541,0.0465280059005545,555.688715950816,0.107594019981217,2.57036552945647
85369,STRIP1,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.447150179611341,NA,NA,0.00300108478839967,0.0189015811953938,753.578282030975,0.150676015280959,2.96762679035254
