entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
163183,SYNE4,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,-0.251930541,NA,NA,0.373281619,0.604314154,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-1.335630353,NA,NA,6.86e-06,9.14e-05,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-1.14230281,NA,NA,5.44e-05,0.000627909,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.55714251,NA,NA,0.088960596,0.324850768,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.367548553,NA,NA,0.28053051,1,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.91176678,NA,NA,0.034189136,0.092644819,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-1.520477996,NA,NA,0.000307783,0.001569188,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.196123485,NA,NA,0.645626767,0.997855584,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.17604207,NA,NA,0.674790191,0.91066896,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.345087676,NA,NA,0.517519843,0.587743975,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.171377133,NA,NA,0.755647367,0.795063498,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.100900082,NA,NA,0.840177047,1,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,1.153711151,NA,NA,0.030250418,0.061751779,NA,NA,NA
163183,SYNE4,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.406120263294795,NA,NA,0.114199841357281,0.602789807002473,62.5780261280762,0.257104184016829,-1.57959414331511
163183,SYNE4,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,2.12523955890176,NA,NA,2.93891829484688e-15,1.82698825769106e-14,231.668680726686,0.269240122088126,7.89347272025874
163183,SYNE4,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.77057074390219,NA,NA,0.00443397422507605,0.0146832593710455,231.668680726686,0.270801904875934,2.84551448873752
163183,SYNE4,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.557401001818462,NA,NA,0.224959764913691,0.544596645292227,22.6137838010027,0.45935418855997,1.21344490961508
163183,SYNE4,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.264643557545111,NA,NA,0.111898475766657,0.317011503429343,225.130386652492,0.16647205664497,-1.58971759512473
