entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
338811,TAFA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-0.256581509,NA,NA,0.651561666,0.752147812,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.578184827,NA,NA,0.305167461,0.418856765,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,-0.059471227,NA,NA,0.916992786,1,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.36319691,NA,NA,0.523789971,0.728675092,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.36786086,NA,NA,0.052850469,0.085528115,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.847270841,NA,NA,0.229932577,0.288504363,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.313311812,NA,NA,0.620503766,0.943551992,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.484038407,NA,NA,0.029709877,0.049748495,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,1.285523587,NA,NA,0.044223236,0.070104138,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.146242967,NA,NA,0.073343409,0.105556798,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.15654722,NA,NA,0.804562069,1,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.552630496,NA,NA,0.385901698,0.52862805,NA,NA,NA
338811,TAFA2,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.426574576399994,NA,NA,0.168558977544499,0.727665575055661,12.8046891430444,0.309819461884337,1.3768488712928
338811,TAFA2,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,4.43152306881326,NA,NA,7.07870580365157e-19,5.39373295904703e-18,68.0064871190158,0.499402532242897,8.87364957664627
338811,TAFA2,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.83180123152425,NA,NA,0.000398721278612571,0.00178178018828332,68.0064871190158,0.517322255234567,3.5409287209066
338811,TAFA2,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,1.56869161026304,NA,NA,0.0354297738479938,0.134246269025376,9.83528926825317,0.74578429708024,2.1034119602739
338811,TAFA2,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-2.1616967707145,NA,NA,4.95316649931006e-06,9.66527426436197e-05,22.8260060985157,0.473354410043498,-4.56676165859711
