entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
23272,TASOR,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.169343957,NA,NA,0.134374314,0.22209068,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.009597099,NA,NA,0.935477296,0.961467983,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.156689741,NA,NA,0.176461743,0.858115045,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.262880263,NA,NA,0.023443842,0.074127242,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-0.094995781,NA,NA,0.481070088,0.568932732,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.109806043,NA,NA,0.338381133,0.403646515,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.047567732,NA,NA,0.666664201,0.953464404,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,0.115621491,NA,NA,0.31672824,0.399553309,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-0.109404748,NA,NA,0.529639202,0.609515458,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,0.440486343,NA,NA,0.011340607,0.019208356,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,-0.142898481,NA,NA,0.409349058,1,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.217411223,NA,NA,0.211793604,0.335707759,NA,NA,NA
23272,TASOR,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0240158497292509,NA,NA,0.778274292081656,0.99776532938064,1419.59811364324,0.0852930569244714,-0.281568636360606
23272,TASOR,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-2.23723003618394,NA,NA,8.37133757995441e-39,1.63168218168666e-37,1589.26867717081,0.171711761426018,-13.0289854207095
23272,TASOR,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.833891592427046,NA,NA,4.18963242767083e-07,4.00844300722896e-06,1589.26867717081,0.164796365154433,-5.06013340552502
23272,TASOR,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.0790897462453772,NA,NA,0.290044249675252,0.641821098585405,1569.00180569871,0.0747522788334442,1.05802455095178
23272,TASOR,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,-0.385036987005814,NA,NA,0.119496429351979,0.332743684894243,1367.64829142845,0.247311502440779,-1.5568907357959
