entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
121793,TEX29,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.31700318,NA,NA,0.524701599,0.647472769,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.159037802,NA,NA,0.019506572,0.040489294,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.472023351,NA,NA,0.342309337,0.997833224,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.042142104,NA,NA,0.931373537,0.981437097,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.781356986,NA,NA,0.0150392,0.027723922,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.152330178,NA,NA,0.002590626,0.004876417,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.244203839,NA,NA,0.714724202,0.963407618,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.815542192,NA,NA,0.009560137,0.017733697,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,4.069441047,NA,NA,6.03e-09,2.51e-08,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,4.723544649,NA,NA,5.67e-12,2.74e-11,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.928235344,NA,NA,0.206276308,1,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,1.144849942,NA,NA,0.106203517,0.192923476,NA,NA,NA
121793,TEX29,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,0.0207425895670107,NA,NA,0.941847141238439,0.99776532938064,24.9056478895952,0.284345867998177,0.0729484473013117
121793,TEX29,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-0.576500304479103,NA,NA,0.40087188554951,0.512767960228791,31.4925076952008,0.686256699634202,-0.840065102149673
121793,TEX29,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,1.75677318836065,NA,NA,0.00315241905050633,0.0109192839295187,31.4925076952008,0.595017976404381,2.952470779079
121793,TEX29,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,1.71086905210805,NA,NA,0.238238698075664,0.565720781921764,2.33526456106883,1.45062590138101,1.17940059561827
121793,TEX29,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,1.31531007700802,NA,NA,0.62586827649869,0.914831983796644,0.438320082016171,2.697792582634,0.487550483115279
