entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.031139013,NA,NA,0.928339938,0.967474733,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-1.113152994,NA,NA,0.001879415,0.008845215,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.615892199,NA,NA,0.085227158,0.221430102,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.777654346,NA,NA,0.036920401,0.226552208,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.048274732,NA,NA,0.896029339,1,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.821022872,NA,NA,0.055754201,0.135421851,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-0.259589792,NA,NA,0.539189416,0.668000445,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.204492488,NA,NA,0.62663114,0.997855584,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.451794136,NA,NA,0.288591277,0.69332842,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,0.502177648,NA,NA,0.370564946,0.440939468,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,0.343538311,NA,NA,0.552062994,0.608628278,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.102027447,NA,NA,0.833234833,1,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,0.739374982,NA,NA,0.166879036,0.258206878,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.044299216,NA,NA,0.937318852,0.967236627,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-0.037818775,NA,NA,0.947199786,0.969179356,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.312936638,NA,NA,0.579699646,1,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.311083712,NA,NA,0.584817539,0.775004339,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.655654872,NA,NA,0.007835429,0.015339952,NA,NA,NA
100507588,TGFBR3L,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,0.905969217,NA,NA,0.093769018,0.130242247,NA,NA,NA
