entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
51337,THEM6,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.123435493,NA,NA,0.587948256,0.770712523,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.859503052,NA,NA,0.000221352,0.001630178,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,-0.754573501,NA,NA,0.001360213,0.009711943,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.446503279,NA,NA,0.059095682,0.274200415,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,-0.452521452,NA,NA,0.053916247,0.950363459,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,-0.152550313,NA,NA,0.522193513,0.671067258,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,-1.529255806,NA,NA,8.68e-10,1.56e-08,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,-0.055570273,NA,NA,0.807712984,1,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,-0.287347081,NA,NA,0.203914915,0.617462361,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-3.844034944,NA,NA,2.6e-16,1.96e-15,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-3.134081766,NA,NA,8.02e-12,3.52e-11,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,-0.311761669,NA,NA,0.114077188,0.74966075,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-2.512042104,NA,NA,1.89e-15,4.91e-14,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,-2.292863594,NA,NA,6.17e-18,7.91e-17,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,-1.296991103,NA,NA,6.08e-08,3.13e-07,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.06569773,NA,NA,0.761824529,1,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.907618793,NA,NA,0.000334578,0.00191477,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.03509534,NA,NA,0.028990458,0.050025229,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-2.389910755,NA,NA,1.27e-12,6.73e-12,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.018636683,NA,NA,0.943897998,1,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-0.913252099,NA,NA,0.016759822,0.0295614,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-2.411506919,NA,NA,7.5e-13,4.65e-12,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-3.646201075,NA,NA,2.24e-21,2.18e-20,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.099259311,NA,NA,0.717577698,1,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.825778799,NA,NA,0.005813795,0.016072271,NA,NA,NA
51337,THEM6,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.437066966841443,NA,NA,0.0291275562282189,0.278681440140325,163.720717766499,0.200328082490854,-2.18175585473094
51337,THEM6,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-4.18828213248602,NA,NA,7.99601447532642e-54,3.0608105552845e-52,471.927547749146,0.271152005954184,-15.4462516983691
51337,THEM6,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-1.10649142381836,NA,NA,1.22013164532499e-07,1.31190216169859e-06,471.927547749146,0.209148674520909,-5.29045391443656
51337,THEM6,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,-0.00205664587096526,NA,NA,0.984839845945655,0.992762699507605,950.651847004556,0.108235525779335,-0.0190015787899274
51337,THEM6,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.600463243747877,NA,NA,0.0702725797555784,0.22430365429307,914.40126708065,0.33172021790329,1.81014967234507
