entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.449971726,NA,NA,0.137146027,0.225894862,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,1.118289718,NA,NA,0.000757989,0.002155338,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.67871466,NA,NA,0.050157282,0.521534059,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,0.215919174,NA,NA,0.523720448,0.728675092,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,1.468212916,NA,NA,0.000318204,0.000819779,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,2.048052164,NA,NA,8.76e-10,3.62e-09,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.798660753,NA,NA,0.027421548,0.215972668,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,1.759768439,NA,NA,1.12e-06,3.69e-06,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,0.897950333,NA,NA,0.000788774,0.001727136,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,1.221254325,NA,NA,4.07e-06,1.1e-05,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.255257266,NA,NA,0.338163197,1,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,0.748648707,NA,NA,0.005152558,0.014490808,NA,NA,NA
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.131617322741544,NA,NA,0.501903134478098,0.99776532938064,49.6588650172124,0.196005440966871,-0.671498311946299
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,2.6907328496201,NA,NA,7.28110055932565e-34,1.14241573120007e-32,335.359802929967,0.221815647230218,12.1304916186884
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,0.414058051196362,NA,NA,0.0696355978093356,0.152859168746149,335.359802929967,0.228222483830704,1.81427370452909
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.295268762047998,NA,NA,0.0883076234280556,0.277829586976795,145.591638174685,0.173239798292131,1.70439336087249
389641,TNFRSF10A-DT,NA,lncRNA,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,1.69486823424596,NA,NA,2.34547965596496e-11,2.38194587251391e-09,65.3396803308613,0.253619531264821,6.682719685639
