entrezID,gene_symbol,probe_seq,biotype,bioproject,res_design,host_type,virus_strain,M.O.I,H.P.I,log2FoldChange,t,B,pvalue,padj,baseMean,lfcSE,stat
54863,TOR4A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,12,0.105691439,NA,NA,0.606094697,0.782573119,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,18,-0.456388807,NA,NA,0.026994003,0.069148019,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,24,0.304018272,NA,NA,0.140413809,0.309006281,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,3,0.178091557,NA,NA,0.391912995,0.64914624,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/California/04/09 (H1N1) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/California/04/09 (H1N1),5,6,0.067162814,NA,NA,0.744831277,1,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,12,0.287932642,NA,NA,0.109194214,0.222906312,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,18,0.157969014,NA,NA,0.369286184,0.509049946,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,3,0.184565528,NA,NA,0.294261702,0.931107338,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/Wyoming/03/03 (H3N2) vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Wyoming/03/03 (H3N2),5,6,0.245430254,NA,NA,0.161955777,0.559401267,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,12,-1.867453725,NA,NA,3.32e-07,1.04e-06,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,18,-1.063545868,NA,NA,0.003856883,0.00670108,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,3,0.006372983,NA,NA,0.984833315,1,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA349748,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human tracheobronchial epithelial cells (HTBE),A/Vietnam/1203/04 (H5N1) HALo,5,6,-0.83582722,NA,NA,0.015041435,0.033755295,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,12,0.231803231,NA,NA,0.113910005,0.193868732,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,18,0.625917573,NA,NA,2.42e-05,8.96e-05,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,3,0.227348968,NA,NA,0.122693266,0.759487124,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/California/04/09 (H1N1) vs. mock infection,human monocyte-derived macrophages (MDM),A/California/04/09 (H1N1),2,6,-0.300897551,NA,NA,0.05374745,0.144753152,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,12,-1.038127991,NA,NA,7.3e-06,2.42e-05,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,18,-0.422709816,NA,NA,0.017364403,0.028080273,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,3,0.207027597,NA,NA,0.229003913,0.715614049,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/Wyoming/03/03 (H3N2) vs. mock infection,human monocyte-derived macrophages (MDM),A/Wyoming/03/03 (H3N2),2,6,-1.209320156,NA,NA,2.23e-09,9.9e-09,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,12,-2.045495096,NA,NA,1.98e-12,1.18e-11,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,18,-1.595631721,NA,NA,6.45e-08,2.1e-07,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,3,0.253452343,NA,NA,0.358056774,1,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA382632,A/Vietnam/1203/04 (H5N1) HALo vs. mock infection,human monocyte-derived macrophages (MDM),A/Vietnam/1203/04 (H5N1) HALo,2,6,-0.833055667,NA,NA,0.002896331,0.008705347,NA,NA,NA
54863,TOR4A,NA,protein_coding,PRJNA557257,A/Panama/2007/1999 (H3N2) vs. mock infection,lung explants,A/Panama/2007/1999 (H3N2),1E5 PFU/mL,24,-0.0407327198240577,NA,NA,0.685742025598872,0.99776532938064,1314.74548346277,0.100664053392813,-0.404640171453359
54863,TOR4A,NA,protein_coding,PRJNA559077,A/swine/Zhejiang/04 (H3N2) vs. mock infection,A549,A/swine/Zhejiang/04 (H3N2),10,24,-1.58277016743947,NA,NA,5.46069180411296e-18,3.98827884725634e-17,802.281763572497,0.183120812088691,-8.64331120742782
54863,TOR4A,NA,protein_coding,PRJNA559077,A/Hangzhou/1/2013 (H7N9) vs. mock infection,A549,A/Hangzhou/1/2013 (H7N9),10,24,-0.509164505904026,NA,NA,0.00347688906785392,0.0118929433593903,802.281763572497,0.174246573727652,-2.92209192417093
54863,TOR4A,NA,protein_coding,PRJNA667475,A/WSN/1933 (H1N1) vs. mock infection,A549,A/WSN/1933 (H1N1),0.02,24,0.33240683618593,NA,NA,3.29499540626394e-05,0.000269628851014245,2198.45472299644,0.0800583425544093,4.15205743186626
54863,TOR4A,NA,protein_coding,PRJNA795161,A/Oklahoma/447/2008 (H1N1) vs. mock infection,human bronchial epithelial cells (HBEC),A/Oklahoma/447/2008 (H1N1),N.A.,48,0.797916347142596,NA,NA,0.000287402153346525,0.00284296207572713,1347.79615926923,0.220029992294991,3.62639810518578
